,52WeekChange,SandP52WeekChange,annualHoldingsTurnover,annualReportExpenseRatio,auditRisk,beta,beta3Year,boardRisk,bookValue,category,compensationRisk,currentPrice,currentRatio,dateShortInterest,debtToEquity,earningsGrowth,earningsQuarterlyGrowth,ebitda,ebitdaMargins,enterpriseToEbitda,enterpriseToRevenue,enterpriseValue,financialCurrency,fiveYearAverageReturn,floatShares,forwardEps,forwardPE,freeCashflow,fullTimeEmployees,fundFamily,fundInceptionDate,grossMargins,grossProfits,heldPercentInsiders,heldPercentInstitutions,industry,lastCapGain,lastDividendValue,lastFiscalYearEnd,lastSplitDate,lastSplitFactor,legalType,maxAge,maxAge_finData,morningStarOverallRating,morningStarRiskRating,mostRecentQuarter,netIncomeToCommon,nextFiscalYearEnd,numberOfAnalystOpinions,operatingCashflow,operatingMargins,overallRisk,pegRatio,priceHint,priceToBook,priceToSalesTrailing12Months,profitMargins,profitMargins_finData,quickRatio,recommendationKey,recommendationMean,returnOnAssets,returnOnEquity,revenueGrowth,revenuePerShare,revenueQuarterlyGrowth,sector,shareHolderRightsRisk,sharesOutstanding,sharesPercentSharesOut,sharesShort,sharesShortPreviousMonthDate,sharesShortPriorMonth,shortPercentOfFloat,shortRatio,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,threeYearAverageReturn,totalAssets,totalCash,totalCashPerShare,totalDebt,totalRevenue,trailingEps,yield,ytdReturn
IEP,0.28922737,0.15217936,,,,1.832354,,,30.984,,,70.72,1.46,1536883200,63.303,-0.821,-0.801,2668000000,0.12805,9.895,1.267,26399201280,USD,,11392387,2.85,24.814035,-2588124928,89034.0,,,0.20733,3490000000,3.0000001e-05,0.9901,Conglomerates,,,1514678400,1352764800,10059/10000,,1,86400,,,1530316800,1227000064,1577750400,1,-985000000,0.080340005,,,2,2.2824686,,0.06311,0.06311,0.211,underperform,4.0,0.033350002,0.16964,0.216,121.14,,Industrials,,182191008,0.0044,803972,1534291200,795376,0.0513,5.21,53.0,53.0,53.0,53.0,,,875000000,4.803,7880000000,20835999744,7.645,,
IESC,0.06703913,0.15217936,,,1.0,0.187537,,8.0,10.161,,7.0,19.5,1.634,1536883200,13.549,0.481,0.451,33608000,0.03986,12.353,0.492,415154464,USD,,8310662,,,3394000,3532.0,,,0.175,140498000,0.027,0.78047997,Engineering & Construction,,,1506729600,1147651200,1000/17092,,1,86400,,,1530316800,-15752000,1569801600,1,17125000,0.02865,7.0,,2,1.9191024,,-0.0186,-0.0186,1.284,none,,0.037130002,-0.06737,0.116,39.763,,Industrials,6.0,21184700,0.0109,230488,1534291200,238300,0.0271,20.79,6.5,6.5,6.5,6.5,,,21692000,1.023,29634000,843134016,-0.744,,
IFRX,Infinity,0.15217936,,,,,,,7.383,,,34.32,43.985,1536883200,,,,-34097508,0.0,-20.163,,687518464,EUR,,7237954,-2.17,-15.815667,-10371291,21.0,,,0.0,,0.44164002,0.5666,Biotechnology,,,1514678400,,,,1,86400,,,1530316800,-33235430,1577750400,5,-21051008,0.0,,,2,4.6485167,,0.0,0.0,43.733,buy,1.8,-0.19103001,-0.44195998,,,,Healthcare,,25662100,0.0092,235799,1534291200,251016,0.013300001,6.82,54.54,41.64,45.02,42.63,,,191155264,7.488,0,,-1.583,,
IGLD,-0.6282579,0.15217936,,,,1.847298,,,0.565,,,2.45,1.217,1536883200,737.467,,,894451328,0.34054002,4.837,1.647,4326231040,ILS,,10202963,,,,6.0,,,0.78477997,7746000000,0.59271,0.08109,Telecom Services,,,1514678400,,,,1,86400,,,1530316800,-68360464,1577750400,1,,0.12177,,,2,4.336283,,-0.026029998,-0.026029998,1.197,hold,3.0,0.03403,0.07516,-0.053,113.248,,Communication Services,,28003200,0.0002,4899,1534291200,3325,0.00059999997,0.84,44.09,44.09,44.09,44.09,,,935357760,37.759,4587837952,2626524160,-2.956,,
III,0.16790116,0.15217936,,,1.0,0.45669,,4.0,1.578,,10.0,4.78,2.156,1536883200,152.736,,,25487000,0.09273,11.783,1.093,300309504,USD,,29806266,0.4,11.950001,7041375,1300.0,,,0.42216,112924000,0.44401002,0.27412,Business Services,,,1514678400,,,,1,86400,,,1530316800,1304000,1577750400,3,16918000,0.05709,7.0,0.88,2,3.029151,,0.0047400002,0.0047400002,2.066,buy,1.7,0.044299997,0.01997,0.044,6.28,,Industrials,4.0,45102200,0.0042,190263,1534291200,217511,0.0058,1.72,6.5,5.25,5.92,6.0,,,19441000,0.431,108221000,274864000,0.022,,
IIIN,0.3690151,0.15217936,,,1.0,2.392478,,6.0,12.087,,4.0,35.88,3.621,1536883200,,0.861,0.873,48519000,0.113170005,12.69,1.436,615696704,USD,,18154069,2.25,15.946667,25273624,803.0,,,0.14612001,59781000,0.05283,0.82497,Metal Fabrication,,,1506729600,1150675200,2/1,,1,86400,,,1530316800,30657000,1569801600,1,48099000,0.08366,6.0,1.51,2,2.9684787,,0.07151,0.07151,2.274,hold,3.0,0.07674,0.1363,0.307,22.507,,Industrials,9.0,19085400,0.022,419410,1534291200,266620,0.026099999,3.26,39.0,39.0,39.0,39.0,,,45232000,2.37,0,428732000,1.59,,
IIN,3.6039214,0.15217936,,,2.0,0.625496,,10.0,3.602,,9.0,56.2,1.556,1536883200,52.966,1.562,2.006,8554000,0.08545999,50.415,4.308,431252032,USD,,6694290,0.93,60.430107,62375,670.0,,,0.32389,26491000,0.13328,0.47752997,Electronic Components,,,1514678400,867628800,3/2,,1,86400,,,1530316800,4179000,1577750400,2,3962000,0.058480002,10.0,,2,15.602444,,0.041750003,0.041750003,0.746,buy,2.0,0.06716,0.18004,0.339,14.5,,Technology,7.0,8414580,0.0633,532784,1534291200,422801,0.0881,1.29,73.0,70.0,71.5,71.5,,,539000,0.075,13277000,100094000,0.537,,
IIVI,0.109004736,0.15217936,,,1.0,0.292769,,5.0,16.183,,2.0,47.3,3.222,1536883200,45.294,-0.173,-0.168,219756992,0.18964,14.4,2.731,3164583680,USD,,59504115,2.88,16.42361,-11050125,11443.0,,,0.39806998,461288000,0.07328,0.94784,Scientific & Technical Instruments,,,1530316800,1309132800,2/1,,1,86400,,,1530316800,88002000,1593475200,11,161014000,0.119940005,3.0,1.0,2,2.92282,,0.07594,0.07594,1.954,buy,2.2,0.053639997,0.09144,0.173,18.541,,Technology,5.0,63694300,0.0863,5497707,1534291200,5811852,0.113299996,12.77,64.0,40.0,53.55,54.0,,,247038000,3.884,463952992,1158793984,1.35,,
ILG,0.295717,0.15217936,,,2.0,1.26005,,4.0,13.64,,1.0,34.13,1.778,1534291200,59.701,0.05,0.038,305000000,0.21064,16.985,3.578,5180308480,USD,,104622418,1.78,19.174158,-127125000,10000.0,,,0.59323,823000000,0.15725,0.7989,Leisure,,,1514678400,,,,1,86400,,,1530316800,173000000,1577750400,4,307000000,0.1547,2.0,1.71,2,2.5021994,,0.11946999,0.11946999,0.389,strong_buy,1.5,0.03944,0.10461,0.117,11.682,,Consumer Cyclical,3.0,124416000,0.0294,3653420,1531440000,3341542,0.0349,4.19,38.0,34.0,36.25,36.5,,,143000000,1.149,1037000000,1448000000,1.38,,
ILMN,0.8146665,0.15217936,,,1.0,1.052262,,8.0,22.156,,8.0,367.06,2.742,1536883200,37.78,0.621,0.633,1019000000,0.32839,51.305,16.848,52280147968,USD,,146375250,6.13,59.87928,388500000,6200.0,,,0.69997,1883000000,0.00488,0.91826,Diagnostics & Research,,,1514678400,1222128000,2/1,,1,86400,,,1530403200,648000000,1577750400,15,1079000064,0.27554,7.0,3.17,2,16.56707,,0.20883,0.20883,2.389,buy,1.9,0.0998,0.19079,0.254,21.181,,Healthcare,6.0,147000000,0.015700001,2314451,1534291200,2259185,0.018,2.74,415.0,320.0,347.73,340.0,,,2512000000,17.088,1348000000,3103000064,4.398,,
