,52WeekChange,SandP52WeekChange,annualHoldingsTurnover,annualReportExpenseRatio,auditRisk,beta,beta3Year,boardRisk,bookValue,category,compensationRisk,currentPrice,currentRatio,dateShortInterest,debtToEquity,earningsGrowth,earningsQuarterlyGrowth,ebitda,ebitdaMargins,enterpriseToEbitda,enterpriseToRevenue,enterpriseValue,financialCurrency,fiveYearAverageReturn,floatShares,forwardEps,forwardPE,freeCashflow,fullTimeEmployees,fundFamily,fundInceptionDate,grossMargins,grossProfits,heldPercentInsiders,heldPercentInstitutions,industry,lastCapGain,lastDividendValue,lastFiscalYearEnd,lastSplitDate,lastSplitFactor,legalType,maxAge,maxAge_finData,morningStarOverallRating,morningStarRiskRating,mostRecentQuarter,netIncomeToCommon,nextFiscalYearEnd,numberOfAnalystOpinions,operatingCashflow,operatingMargins,overallRisk,pegRatio,priceHint,priceToBook,priceToSalesTrailing12Months,profitMargins,profitMargins_finData,quickRatio,recommendationKey,recommendationMean,returnOnAssets,returnOnEquity,revenueGrowth,revenuePerShare,revenueQuarterlyGrowth,sector,shareHolderRightsRisk,sharesOutstanding,sharesPercentSharesOut,sharesShort,sharesShortPreviousMonthDate,sharesShortPriorMonth,shortPercentOfFloat,shortRatio,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,threeYearAverageReturn,totalAssets,totalCash,totalCashPerShare,totalDebt,totalRevenue,trailingEps,yield,ytdReturn
GLOP,0.06479478,0.15987647,,,,1.312853,,,18.444,,,24.5,1.038,1535673600,111.922,-0.109,-0.184,220036992,0.72650003,10.708,7.779,2356169984,USD,,20629092,2.14,11.448598,157524752,,,,0.78200996,247550000,0.28819,0.3868,Oil & Gas Midstream,,,1514678400,,,,1,86400,,,1530316800,87265000,1577750400,10,184239008,0.50243,,3.61,2,1.3283453,,0.36128,0.36128,1.002,buy,1.8,0.046,0.11411,-0.099,6.489,,Energy,,42896100,0.0054,235652,1532995200,213341,0.0076,2.17,30.0,25.0,27.4,27.0,,,151610000,3.464,1184443008,302872000,1.866,,
GLW,0.18686533,0.15987647,,,1.0,1.228136,,4.0,14.31,,8.0,35.27,2.23,1534291200,38.456,0.843,0.681,2824999936,0.26928,11.652,3.138,32916303872,USD,,807690262,2.03,17.374384,203124992,46200.0,,,0.39281,4032000000,0.0028900001,0.72876,Electronic Components,,,1514678400,970617600,3/1,,1,86400,,,1530316800,-971000000,1577750400,12,2568000000,0.15061,6.0,1.96,2,2.46471,,-0.08321,-0.08321,1.329,buy,2.3,0.03659,-0.05451,0.1,12.299,,Technology,5.0,810014976,0.0276,22331573,1531440000,25291688,0.026400002,3.7,40.0,31.6,35.72,36.5,,,2023000064,2.497,5365000192,10490999808,-1.189,,
GM,-0.11246437,0.15987647,,,5.0,1.543831,,3.0,25.844,,4.0,34.63,0.877,1535673600,256.967,0.519,0.44,20041000960,0.13898,6.616,0.919,132585062400,USD,,1217511963,5.97,5.8006706,-12981624832,180000.0,,,0.118269995,20164000000,0.07248,0.77045995,Auto Manufacturers,,,1514678400,,,,1,86400,,,1530316800,-1298000000,1577750400,19,15322000384,0.05562,5.0,0.55,2,1.339963,,-0.03257,-0.03257,0.669,buy,2.3,0.02184,-0.03113,-0.006,101.619,,Consumer Cyclical,5.0,1410889984,0.0165,23242476,1532995200,29823532,0.0165,2.3,60.0,33.0,46.53,47.0,,,18011000832,12.766,99282001920,144196993024,-3.346,,
GS,0.003516078,0.15987647,,,2.0,1.355016,,4.0,199.524,,8.0,229.24,1.861,1535673600,506.121,0.516,0.401,,0.0,,-6.46,-229964005376,USD,,337682513,25.39,9.028752,,38000.0,,,0.89539003,28636000000,0.01283,0.7743,Capital Markets,,,1514678400,,,,1,86400,,,1530316800,4957000192,1577750400,22,3988999936,0.36513,5.0,0.3,2,1.1489345,,0.15722999,0.15722999,1.86,buy,2.3,0.00597,0.06391,0.192,91.009,,Financial Services,4.0,377556000,0.010299999,3892102,1532995200,4603764,0.0104,1.52,336.0,200.0,276.23,280.0,,,777381019648,2058.981,445198991360,35598000128,12.525,,
GSK,-0.017977476,0.15987647,,,10.0,0.625762,,2.0,1.98,,8.0,39.01,0.937,1535673600,928.283,,,10389440512,0.26184,12.189,3.192,126641446912,GBP,,2411962525,2.99,13.046823,-6018644480,98462.0,,,0.68547994,20789000000,8.9999994e-05,0.11378,Drug Manufacturers - Major,,,1514678400,689904000,2/1,,1,86400,,,1530316800,2189198848,1577750400,4,9241962496,0.22789,9.0,1.57,2,19.702019,,0.055170003,0.055170003,0.601,hold,2.6,0.07379,0.60857,-0.001,16.196,,Healthcare,1.0,4914999808,0.0028,6885840,1532995200,7968169,,2.94,45.0,40.0,42.19,41.88,,,5455811584,2.22,37097402368,39677906944,0.884,,
GVA,-0.2088663,0.15987647,,,2.0,1.416371,,1.0,27.481,,3.0,45.2,1.527,1535673600,37.563,,,198479008,0.06343,10.737,0.681,2131027200,USD,,45197995,4.35,10.390805,-23271250,1900.0,,,0.11246,314933000,0.01125,0.96752,Engineering & Construction,,,1514678400,987379200,3/2,,1,86400,,,1530316800,58947000,1577750400,8,48064000,0.03827,2.0,2.75,2,1.6447728,,0.01884,0.01884,1.366,buy,1.8,0.03433,0.06118,0.058,78.295,,Industrials,3.0,45695200,0.055999998,2557497,1532995200,3149103,0.0721,4.09,85.0,63.0,71.88,71.0,,,468496000,10.253,488692000,3128898048,1.454,,
HBM,-0.42105263,0.15987647,,,2.0,3.729852,,3.0,8.299,,1.0,4.55,2.149,1535673600,48.752,0.171,0.289,678643968,0.44569,2.662,1.186,1806248960,USD,,231402666,1.09,4.174312,243127008,2219.0,,,0.49863997,666825000,0.00124,0.68697,Copper,,,1514678400,,,,1,86400,,,1530316800,220908992,1577750400,6,525735008,0.23907,2.0,0.14,2,0.54825884,,0.14508,0.14508,1.668,buy,2.0,0.05027,0.111499995,0.105,5.96,,Basic Materials,3.0,261271008,0.0037,1007172,1532995200,2419979,,1.97,13.41,8.24,10.71,10.65,,,439576000,1.682,1057041024,1522697984,0.865,,
HFC,1.1900275,0.15987647,,,1.0,0.965168,,7.0,33.433,,6.0,70.39,2.38,1534291200,37.288,4.954,4.981,2101150976,0.12880999,6.825,0.879,14340975616,USD,,173912737,6.98,10.084527,599392384,3522.0,,,0.14506,1540151000,0.00548,0.93385005,Oil & Gas Refining & Marketing,,,1514678400,1377129600,1/1,,1,86400,,,1530316800,1400252032,1577750400,12,1206136960,0.10261,6.0,0.28,2,2.1054049,,0.08623999,0.08623999,1.172,hold,2.8,0.099989995,0.25704,0.293,92.558,,Energy,7.0,174690000,0.0456,8026445,1531440000,10300858,0.0657,3.17,90.0,57.0,74.83,75.0,,,979872000,5.609,2387759104,16311615488,7.873,,
HIG,-0.06984955,0.16019595,,,1.0,0.71291,,8.0,35.01,,4.0,50.07,1.991,1535673600,39.048,,,2431000064,0.13479,7.947,1.071,19319609344,USD,,357114472,4.99,10.034068,22551625728,16400.0,,,0.32734,5391000000,0.00386,0.92542,Insurance - Diversified,,,1514678400,900547200,2/1,,1,86400,,,1530316800,449000000,1577750400,15,2561999872,0.11011,4.0,0.53,2,1.4301629,,-0.12697,-0.12697,1.218,hold,2.6,0.00866,0.0301,0.137,50.338,,Financial Services,4.0,358419008,0.0085,3051047,1532995200,2959991,0.0094,1.32,64.0,52.0,59.13,59.0,,,3443000064,9.606,4898999808,18036000768,-6.391,,
HL,-0.42800003,0.16019595,,,1.0,-0.152242,,2.0,3.741,,6.0,2.88,3.345,1535673600,36.502,,,221527008,0.3768,7.461,2.811,1652748288,USD,,472729231,0.11,26.18182,48654624,1431.0,,,0.48657,273048000,0.01298,0.54453,Gold,,,1514678400,354326400,3/2,,1,86400,,,1530316800,-6575000,1577750400,10,117075000,0.1593,4.0,-2.8,2,0.7698477,,-0.010240001,-0.010240001,2.604,hold,2.7,0.024530001,-0.00401,0.097,1.472,,Basic Materials,6.0,477012992,0.0397,18941177,1532995200,17479886,0.0537,3.89,7.0,3.25,4.29,4.0,,,245278000,0.514,548001984,587920000,-0.019,,
