,Underyling,quarter,payoutChange,divGrowth,payoutAvg,debtEquityAvg,netMarginAvg
2015-12-31,HNRG,2015-12-31,-0.16544097851712777,0.006529442326262291,0.25654775476473074,1.3803096434562843,0.07582553315880523
2014-12-31,HNRG,2014-12-31,-0.16544097851712777,0.006529442326262291,0.25654775476473074,1.3803096434562843,0.07582553315880523
2018-06-30,HOLI,2018-06-30,-0.025943815553521172,-0.13177453027139874,0.11411416850385488,0.4587431707475947,0.1918085534154159
2017-06-30,HOLI,2017-06-30,-0.025943815553521172,-0.13177453027139874,0.11411416850385488,0.4587431707475947,0.1918085534154159
2016-06-30,HOLI,2016-06-30,-0.025943815553521172,-0.13177453027139874,0.11411416850385488,0.4587431707475947,0.1918085534154159
2015-06-30,HOLI,2015-06-30,-0.025943815553521172,-0.13177453027139874,0.11411416850385488,0.4587431707475947,0.1918085534154159
2017-12-31,HOPE,2017-12-31,0.16132524409801907,0.3550448746249046,0.40696506020591733,6.682220564011942,0.280586934021303
2016-12-31,HOPE,2016-12-31,0.16132524409801907,0.3550448746249046,0.40696506020591733,6.682220564011942,0.280586934021303
2015-12-31,HOPE,2015-12-31,0.16132524409801907,0.3550448746249046,0.40696506020591733,6.682220564011942,0.280586934021303
2014-12-31,HOPE,2014-12-31,0.16132524409801907,0.3550448746249046,0.40696506020591733,6.682220564011942,0.280586934021303
2018-01-31,HQY,2018-01-31,0.0,0.0,0.0,0.07067996133031892,0.16175070328227123
2017-01-31,HQY,2017-01-31,0.0,0.0,0.0,0.07067996133031892,0.16175070328227123
2016-01-31,HQY,2016-01-31,0.0,0.0,0.0,0.07067996133031892,0.16175070328227123
2015-01-31,HQY,2015-01-31,0.0,0.0,0.0,0.07067996133031892,0.16175070328227123
2017-12-31,HTHT,2017-12-31,-0.3676906108435674,0.0,0.4433326344480295,1.262891945554683,0.11669697004921427
2016-12-31,HTHT,2016-12-31,-0.3676906108435674,0.0,0.4433326344480295,1.262891945554683,0.11669697004921427
2015-12-31,HTHT,2015-12-31,-0.3676906108435674,0.0,0.4433326344480295,1.262891945554683,0.11669697004921427
2014-12-31,HTHT,2014-12-31,-0.3676906108435674,0.0,0.4433326344480295,1.262891945554683,0.11669697004921427
2017-12-31,HTLF,2017-12-31,-0.02677310722703463,0.15359410072908508,0.1493278384329134,10.38195755322331,0.19138107344263608
2016-12-31,HTLF,2016-12-31,-0.02677310722703463,0.15359410072908508,0.1493278384329134,10.38195755322331,0.19138107344263608
2015-12-31,HTLF,2015-12-31,-0.02677310722703463,0.15359410072908508,0.1493278384329134,10.38195755322331,0.19138107344263608
2014-12-31,HTLF,2014-12-31,-0.02677310722703463,0.15359410072908508,0.1493278384329134,10.38195755322331,0.19138107344263608
2017-12-31,HWC,2017-12-31,0.07787971929057419,-0.02401526630569384,0.5492852113835678,8.25093329783036,0.19051109756265547
2016-12-31,HWC,2016-12-31,0.07787971929057419,-0.02401526630569384,0.5492852113835678,8.25093329783036,0.19051109756265547
2015-12-31,HWC,2015-12-31,0.07787971929057419,-0.02401526630569384,0.5492852113835678,8.25093329783036,0.19051109756265547
2014-12-31,HWC,2014-12-31,0.07787971929057419,-0.02401526630569384,0.5492852113835678,8.25093329783036,0.19051109756265547
2017-12-31,IAC,2017-12-31,3.038291824346424,0.16291684645256743,0.9474688629971876,1.4024100930985801,0.03867650813827133
2016-12-31,IAC,2016-12-31,3.038291824346424,0.16291684645256743,0.9474688629971876,1.4024100930985801,0.03867650813827133
2015-12-31,IAC,2015-12-31,3.038291824346424,0.16291684645256743,0.9474688629971876,1.4024100930985801,0.03867650813827133
2014-12-31,IAC,2014-12-31,3.038291824346424,0.16291684645256743,0.9474688629971876,1.4024100930985801,0.03867650813827133
2017-12-31,IBCP,2017-12-31,0.24663946908469248,0.29781695611160774,0.3505560075779343,9.120151663674212,0.17180233173593715
2016-12-31,IBCP,2016-12-31,0.24663946908469248,0.29781695611160774,0.3505560075779343,9.120151663674212,0.17180233173593715
2015-12-31,IBCP,2015-12-31,0.24663946908469248,0.29781695611160774,0.3505560075779343,9.120151663674212,0.17180233173593715
2014-12-31,IBCP,2014-12-31,0.24663946908469248,0.29781695611160774,0.3505560075779343,9.120151663674212,0.17180233173593715
2017-12-31,IBKC,2017-12-31,0.17048156301038575,0.2391155945073402,0.427604057100514,6.826463538360753,0.184500531175271
2016-12-31,IBKC,2016-12-31,0.17048156301038575,0.2391155945073402,0.427604057100514,6.826463538360753,0.184500531175271
2015-12-31,IBKC,2015-12-31,0.17048156301038575,0.2391155945073402,0.427604057100514,6.826463538360753,0.184500531175271
2014-12-31,IBKC,2014-12-31,0.17048156301038575,0.2391155945073402,0.427604057100514,6.826463538360753,0.184500531175271
2017-12-31,IBKR,2017-12-31,-0.06827485180541733,0.06795986622073576,0.39604964792934716,50.21509186146881,0.047250999566020635
2016-12-31,IBKR,2016-12-31,-0.06827485180541733,0.06795986622073576,0.39604964792934716,50.21509186146881,0.047250999566020635
2015-12-31,IBKR,2015-12-31,-0.06827485180541733,0.06795986622073576,0.39604964792934716,50.21509186146881,0.047250999566020635
2014-12-31,IBKR,2014-12-31,-0.06827485180541733,0.06795986622073576,0.39604964792934716,50.21509186146881,0.047250999566020635
2017-12-31,IBTX,2017-12-31,-0.05270416385005977,0.28433074209233444,0.13372729206655465,6.847770818167516,0.25777591091066493
2016-12-31,IBTX,2016-12-31,-0.05270416385005977,0.28433074209233444,0.13372729206655465,6.847770818167516,0.25777591091066493
2015-12-31,IBTX,2015-12-31,-0.05270416385005977,0.28433074209233444,0.13372729206655465,6.847770818167516,0.25777591091066493
2014-12-31,IBTX,2014-12-31,-0.05270416385005977,0.28433074209233444,0.13372729206655465,6.847770818167516,0.25777591091066493
2017-12-31,IDRA,2017-12-31,0.0,0.0,0.0,0.09973143740784114,-90.17427699747145
