,52WeekChange,SandP52WeekChange,annualHoldingsTurnover,annualReportExpenseRatio,auditRisk,beta,beta3Year,boardRisk,bookValue,category,compensationRisk,currentPrice,currentRatio,dateShortInterest,debtToEquity,earningsGrowth,earningsQuarterlyGrowth,ebitda,ebitdaMargins,enterpriseToEbitda,enterpriseToRevenue,enterpriseValue,financialCurrency,fiveYearAverageReturn,floatShares,forwardEps,forwardPE,freeCashflow,fullTimeEmployees,fundFamily,fundInceptionDate,grossMargins,grossProfits,heldPercentInsiders,heldPercentInstitutions,industry,lastCapGain,lastDividendValue,lastFiscalYearEnd,lastSplitDate,lastSplitFactor,legalType,maxAge,maxAge_finData,morningStarOverallRating,morningStarRiskRating,mostRecentQuarter,netIncomeToCommon,nextFiscalYearEnd,numberOfAnalystOpinions,operatingCashflow,operatingMargins,overallRisk,pegRatio,priceHint,priceToBook,priceToSalesTrailing12Months,profitMargins,profitMargins_finData,quickRatio,recommendationKey,recommendationMean,returnOnAssets,returnOnEquity,revenueGrowth,revenuePerShare,revenueQuarterlyGrowth,sector,shareHolderRightsRisk,sharesOutstanding,sharesPercentSharesOut,sharesShort,sharesShortPreviousMonthDate,sharesShortPriorMonth,shortPercentOfFloat,shortRatio,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,threeYearAverageReturn,totalAssets,totalCash,totalCashPerShare,totalDebt,totalRevenue,trailingEps,yield,ytdReturn
RJF,0.18748403,0.15718329,,,1.0,1.872793,,6.0,42.28,,6.0,91.6,4.152,1534291200,51.906,0.247,0.266,,0.0,,1.346,9480069120,USD,,130198252,7.68,11.927083,,12700.0,,,0.92964,5939868000,0.107030004,0.72725,Capital Markets,,,1506729600,1143072000,3/2,,1,86400,,,1530316800,786019008,1569801600,7,966998016,0.21496001,7.0,0.78,2,2.166509,,0.111820005,0.111820005,4.125,buy,1.9,0.02268,0.13469,0.115,48.616,,Financial Services,8.0,141146000,0.0147,2144547,1531440000,2124196,0.0164,2.67,117.0,95.0,108.14,110.0,,,7228892160,49.637,3244158976,7041926144,5.294,,
RL,0.44868982,0.15718329,,,1.0,0.419534,,9.0,42.182,,10.0,134.33,2.27,1534291200,24.788,0.819,0.832,954400000,0.1533,9.826,1.506,9378160640,USD,,54523494,7.27,18.477304,637037504,12800.0,,,0.61086,3759300000,0.0148,1.07056,Apparel Manufacturing,,,1522454400,,,,1,86400,,,1530316800,212300000,1585612800,16,871500032,0.108559996,10.0,1.96,2,3.1845338,,0.0341,0.0341,1.591,hold,3.0,0.0713,0.06261,0.032,76.133,,Consumer Cyclical,10.0,55248800,0.0719,5835578,1531440000,6178457,0.1392,5.54,166.0,112.0,137.44,138.5,,,2020000000,24.898,848000000,6225800192,2.566,,
RNR,-0.05397159,0.15718329,,,1.0,0.223345,,1.0,104.563,,3.0,127.87,1.605,1534291200,15.589,0.127,0.117,-234402000,-0.11542,9.53,-1.1,-2233951744,USD,,39348848,11.07,11.55104,-74405128,384.0,,,-0.051680002,-115269000,0.01569,0.98765,Insurance - Reinsurance,,,1514678400,1022803200,3/1,,1,86400,,,1530316800,-260276992,1577750400,11,1073874944,-0.13733,2.0,0.99,2,1.2228991,,-0.11689,-0.11689,1.35,hold,2.8,-0.01134,-0.05692,-0.025,51.326,,Financial Services,3.0,40263200,0.0172,692211,1531440000,920477,0.0199,2.64,151.0,130.0,138.64,138.0,,,10434570240,259.159,990465984,2030793984,-6.578,,
ROK,0.07168174,0.15718329,,,1.0,1.274185,,4.0,11.726,,3.0,185.35,1.925,1534291200,85.023,-0.054,-0.084,1361400064,0.20615,16.41,3.383,22339950592,USD,,122363050,8.95,20.709497,899562496,22000.0,,,0.42206,2624200000,0.00617,0.78052,Diversified Industrials,,,1506729600,545356800,2/1,,1,86400,,,1530316800,393800000,1569801600,15,1044099968,0.18191999,7.0,1.87,2,15.806755,,0.05969,0.05969,1.504,hold,3.0,0.11505,0.21766001,0.062,52.041,,Industrials,10.0,123165000,0.0277,3410081,1531440000,3366401,0.026800001,2.72,205.0,159.0,179.6,176.0,,,1488700032,12.087,1227900032,6604000256,3.069,,
RPM,0.34288573,0.15718329,,,1.0,1.548898,,4.0,12.202,,3.0,67.09,2.454,1534291200,133.282,-0.327,-0.331,688467968,0.12937,15.658,2.026,10780172288,USD,,131557943,3.77,17.795755,175459744,14540.0,,,0.41696,2218912000,0.013200001,0.82461,Specialty Chemicals,,,1527724800,881625600,5/4,,1,86400,,,1527724800,333912000,1590883200,9,390383008,0.105220005,4.0,2.29,2,5.4982786,,0.06347,0.06347,1.446,buy,2.5,0.06755,0.22084999,0.044,40.568,,Basic Materials,8.0,133442000,0.0342,4565613,1531440000,4265290,0.0387,3.51,77.0,63.0,68.89,70.0,,,341822016,2.561,2177219072,5321643008,2.504,,
RTN,0.08927977,0.15718329,,,1.0,0.41517,,3.0,37.191,,5.0,198.35,1.613,1534291200,45.436,0.473,0.447,3881999872,0.14954,15.361,2.297,59630399488,USD,,284732269,11.62,17.069708,2522874880,64000.0,,,0.24889,6272000000,0.00155,0.75294,Aerospace & Defense,,,1514678400,814492800,2/1,,1,86400,,,1530403200,2399000064,1577750400,18,3444000000,0.13067001,2.0,0.8,2,5.3332796,,0.09238,0.09238,1.446,buy,1.7,0.06955,0.21263,0.055,89.824,,Industrials,2.0,285260000,0.0164,4670618,1531440000,4537154,0.0163,2.7,259.0,219.0,237.17,237.5,,,3094000128,10.846,5052000256,25959000064,8.289,,
RVSB,0.23136246,0.15718329,,,2.0,0.687481,,7.0,5.309,,4.0,9.4,,1534291200,,0.669,0.674,,0.0,,3.873,213749696,USD,,19720287,0.77,12.207792,,258.0,,,0.0,53615000,0.06519,0.61944,Savings & Cooperative Banks,,,1522454400,1156464000,2/1,,1,86400,,,1530316800,12030000,1585612800,1,16931000,0.36894,7.0,1.13,2,1.7705781,,0.218,0.218,,buy,2.0,0.010620001,0.10293,0.119,2.447,,Financial Services,9.0,22576700,0.0037,83005,1531440000,74196,0.004,1.95,10.0,10.0,10.0,10.0,,,38239000,1.694,28931000,55183000,0.53,,
RY,0.046554685,0.15718329,,,1.0,0.963816,,1.0,37.282,,1.0,79.43,,1534291200,,0.134,0.114,,0.0,,-2.056,-63731769344,CAD,,1439243269,6.94,11.445245,,82236.0,,,0.0,39519000000,7e-05,0.47492,Banks - Global,,,1509408000,1144368000,2/1,,1,86400,,,1532995200,8792128512,1572480000,5,-18886989824,0.39804,2.0,2.4,2,2.1305187,,0.29053,0.29053,,buy,2.2,0.00964,0.15946001,0.093,21.406,,Financial Services,6.0,1440989952,0.0031,4504521,1531440000,5352041,,7.38,93.56,80.62,88.28,88.28,,,388033118208,269.477,205506232320,31002476544,6.05,,
RYAAY,-0.13665217,0.15718329,,,9.0,0.491778,,10.0,24.355,,8.0,94.88,1.121,1534291200,80.722,-0.186,-0.221,2541731584,0.29808,8.85,2.638,22494095360,EUR,,219706525,7.15,13.26993,271001152,14000.0,,,0.35471,2638700000,1.0000001e-05,0.57764,Airlines,,,1522454400,1445990400,975/1000,,1,86400,,,1530316800,1587038592,1585612800,1,2651238656,0.21895,10.0,0.67,2,3.8957093,,0.18611999,0.18611999,0.965,hold,3.0,0.080740005,0.29955,0.088,36.135,,Industrials,10.0,1154599936,0.014099999,3197225,1531440000,2879508,,7.64,110.0,110.0,110.0,110.0,,,4195756032,18.17,4540004352,8527114240,6.665,,
SAP,0.09239936,0.15718329,,,1.0,1.208512,,7.0,25.195,,8.0,121.05,1.001,1534291200,29.681,0.082,0.076,7233298944,0.26248,19.68,5.166,142349500416,EUR,,997730240,5.67,21.349207,5177709056,93846.0,,,0.70087,16409000000,0.0,0.06583,Software - Application,,,1514678400,901584000,4/1,,1,86400,,,1530316800,4958112256,1577750400,11,5261004288,0.22308001,7.0,2.33,2,4.804525,,0.17992,0.17992,0.913,buy,2.2,0.07463,0.17018,0.038,23.08,,Technology,1.0,1193600000,0.0022,2804818,1531440000,2471112,,3.08,145.83,117.6,130.75,129.56,,,5721167872,4.793,8941145088,27557365760,4.15,,
