Symbol	Description
CAV.V	Camrova Resources Inc
CAY.V	Cache Exploration Inc
CBA.V	Champion Bear Res Ltd
CBE.V	Cabo Drilling Corp
CBG.V	Chibougamau Independent Mines Inc
CBI.V	Colibri Resource Corp
CBLT.V	Cblt Inc
CBLU.V	Clear Blue Technologies Intl Inc
CBR.V	Cabr Al Gold Inc
CBS.V	Bard Ventures Ltd
CBV.V	Cobra Venture Corp
CBX.V	Cortex Business Solutions Inc
CCB.V	Canada Carbon Inc
CCC.V	Cornerstone Metals Inc
CCD.V	Cascadero Copper Corp
CCE.V	Commerce Resources Corp
CCW.V	Canada Cobalt Works Inc.
CD.V	Cantex Mine Development Corp
CDA.V	Canuc Resources Corp
CDB.V	Cordoba Minerals Corp
CDC.V	Cadillac Ventures Inc
CDG.V	Candente Gold Corp
CDU.V	Cardero Resource Corp
CE.V	Canada Energy Partners Inc
CEM.V	Constantine Metal Resources Ltd
CEN.V	Claren Energy Corp
CEO.H.V	Clydesdale Resources Inc.
CEP.V	Cliffside Capital Ltd
CFM.V	Confederation Minerals Ltd
CFY.V	Changfeng Energy Inc
CGD.V	Carlin Gold Corp
CGLD.V	Core Gold Inc.
CGM.V	California Gold Mining Inc
CGP.V	Cornerstone Capital Resources Inc
CGP.WT.S.V	Cornerstone Capital Res Inc Wts
CH.V	Urban Select Captial Corp
CHC.V	Chc Student Housing Corp
CHEM.V	Canadian Energy Materials Corp.
CHN.V	China Education Resources Inc
CHY.H.V	Cypress Hills Resource C
CID.V	Cicada Ventures Ltd
CIFR.V	Cipher Resources Inc.
CIO.V	Central Iron Ore Limited
CIP.H.V	Canadian International Pharma Corp
CIT.V	Cr Capital Corp
CJC.V	Quebec Precious Metals Corp.
CKG.V	Chesapeake Gold Corp
CKK.V	Cordy Oilfield Services Inc
CKZ.H.V	Caspian Energy Inc
CLB.V	Colombia Crest Gold Corp
CLE.V	Clean Commodities Corp
CLH.V	Coral Gold Resources Ltd
CLI.V	Clearford Water Systems Inc
CLM.V	Crystal Lake Mining Corp
CLY.V	Clarocity Corp
CLZ.V	Canasil Resources Inc
CMB.V	Cmc Metals Ltd
CMD.V	Commander Resources Ltd
CMI.V	C-Com Satellite Systems Inc
CML.V	Canickel Mining Limited
CMO.H.V	Cliffmont Resources Ltd
CMU.V	Comet Industries Ltd
CMV.V	China Minerals Mining Corp
CMX.V	Chilean Metals Inc
CN.V	Condor Resources Inc
CNA.H.V	Canasia Financial Inc
CNH.V	Crownia Holdings Ltd
CNO.V	California Nanotechnologies Corp
CNS.V	Contagious Gaming Inc
CNX.V	Callinex Mines Inc
COBC.V	Cobalt Blockchain Inc.
COIN.V	Coin Hodl Inc.
COL.V	Copper North Mining Corp
COLL.P.V	Collingwood Resources Corp
CONE.V	Canada One Mining Corp
COO.V	Naturebank Asset Management Inc
COPS.V	Crops Inc.
COR.V	Camino Minerals Corp
CORE.V	Canadian Orebodies Inc
COT.V	Cotinga Pharmaceuticals Inc.
COV.V	Covalon Technologies Ltd
CPL.V	Copper Lake Resources Ltd
CPM.V	Crystal Peak Minerals Inc
CPO.V	Cobalt Power Group Inc
CPQ.P.V	Cinaport Acquisition Corp II
CPS.V	Claim Post Resources Inc
CQR.V	Conquest Resources Ltd
CQV.H.V	Canadian Imperial Venture Corp
CRB.V	Cariboo Rose Resources Ltd
CRD.H.V	Coronado Resources Ltd
CRE.V	Critical Elements Corp
CRU.V	Cameo Cobalt Corp.
CRX.H.V	Cerro Mining Corp
CSC.H.V	Canex Energy Corp
CSL.V	Comstock Metals Ltd
CSO.V	Corsa Coal Corp
CSOC.A.V	Canso Select Opportunities Corp Class A
CSOC.B.V	Canso Select Opportunities Corp Class B
CST.V	Co2 Solutions Inc
CSX.V	Clean Seed Capital Group Ltd
CT.V	Centenara Mining Corp
CTI.V	Caiterra International E
CTM.V	Canterra Minerals Corp
CTN.V	Centurion Minerals Ltd
CTO.V	Circa Enterprises Inc
CTU.V	Le Chateau Inc Cl B
CTZ.V	Namsys Inc
CUC.V	Carube Copper Corp
CUDA.V	Cuda Oil & Gas Inc.
CUI.V	Currie Rose Resources Inc
CUO.V	Copper One Inc
CUU.V	Copper Fox Metals Inc
CUV.V	Cuv Ventures Corp.
CUZ.V	Cruz Cobalt Corp
CV.H.V	Chantrell Ventures Corp
CVB.V	Compass Gold Corporation
CVM.V	Cvr Medical Corp
CVR.V	CDN Oil Recovery Remediation Ent Ltd
CVS.P.V	Canvass Ventures Ltd
CVV.V	Canalaska Uranium Ltd
CVX.V	Cematrix Corp
CWC.V	Cwc Energy Services Corp
CWM.V	Crown Mining Corp
CWV.V	Crown Point Energy Inc
CX.V	Clarmin Explorations Inc
CXA.H.V	Consolidated Hci Holdings Corporation
CXB.V	Calibre Mining Corp
CXO.V	Colorado Resources Ltd
CYF.V	Canyon Creek Food Co Ltd
CYL.V	Ceylon Graphite Corp
CYM.V	Cymat Technologies Ltd
CYP.V	Cypress Development Corp
CYX.V	Calyx Ventures Inc.
CZ.H.V	Cassius Ventures Ltd
CZO.V	Ceapro Inc
CZQ.H.V	Continental Precious Minerals Inc
CZR.V	Cruzsur Energy Corp.
CZZ.V	Cleghorn Minerals Ltd
DAC.V	Datable Technology Corp.
DAL.V	Dalmac Energy Inc
DAN.V	Arianne Phosphate Inc
DAP.U.V	Xpel Technologies Corp
DAR.V	Darelle Online Solutions Inc
DASH.V	Neptune Dash Technologies Corp
DAU.V	Desert Gold Ventures Inc
DBD.H.V	Darien Business Development Corp
DBV.V	Doubleview Capital Corp
DCA.P.V	Dc Acquisition Corp
DCOP.V	District Copper Corp.
DCY.V	Discovery-Corp. Enterprises Inc
DE.V	Decisive Dividend Corp
DEC.V	Decade Resources Ltd
DEF.V	Defiance Silver Corp
DELX.V	Delphx Capital Markets Inc
