Symbol	Description
TBP.WT.V	Tetra Bio Pharma Inc Wts
TBR.V	Timberline Resources Corp
TCA.V	Timia Capital Corp
TCC.DB.V	Trenchant Capital Corp 9.0 Pct Debs
TCI.V	Target Capital Inc
TCO.V	Transatlantic Mining Corp
TEG.H.V	Troy Energy Corp
TEM.V	Tembo Gold Corp
TEN.V	Terraco Gold Corp
TES.V	Tesoro Minerals Corp
TEST.V	Flurotech Ltd
TETH.V	Tethyan Resources Plc
TG.V	Trifecta Gold Ltd
TGH.V	Tornado Global Hydrovacs Ltd
TGI.H.V	True Grit Resources Ltd
TGR.V	Tiger International Resources
TGV.V	Tango Mining Limited
TGX.V	True North GEMS Inc
THM.V	Thunder Mountain Gold Inc
THP.V	Totally Hip Technologies Inc
THRM.V	Therma Bright Inc.
THX.V	Thor Explorations Ltd
TIC.V	Titanium Corporation Inc
TIG.V	Triumph Gold Corp
TII.V	Terra Firma Capital Corp
TIL.V	Till Capital Ltd
TIM.V	Toachi Mining Inc
TIN.V	Eurotin Inc
TIP.H.V	Tyner Resources Ltd
TK.V	Tinka Resources Ltd
TKU.V	Tarku Resources Ltd
TKX.V	Trackx Holdings Inc
TLA.V	Titan Logix Corp
TLD.H.V	Triangle Industries Ltd
TLG.V	Troilus Gold Corp
TLK.V	Frankly Inc
TLL.H.V	Tilting Capital Corp
TLT.V	Theralase Technologies Inc
TM.V	Trigon Metals Inc
TMG.V	Thermal Energy International Inc
TMS.V	Targeted Microwave Solutions Inc
TNA.V	Evergreen Gaming Corp
TNO.H.V	Terreno Resources Corp
TNR.V	Tnr Gold Corp
TOE.V	Tri Origin Exploration Ltd
TOM.V	Tolima Gold Inc
TORQ.V	Torq Resources Inc
TORR.V	Torrent Capital Ltd
TPC.V	Tenth Avenue Petroleum Corp
TR.V	Troubadour Resources Inc
TRA.V	Teras Resources Inc
TRAK.V	Trakopolis Iot Corp
TRM.V	Trueclaim Exploration Inc
TRO.V	Taranis Resources Inc
TRS.V	Tres-Or Resources Ltd
TSD.V	Tsodilo Resources Ltd
TSG.V	Tristar Gold Inc
TSN.V	Telson Mining Corp.
TSP.V	Titan Star Properties Inc
TSP.DB.V	Titanstar Properties Inc
TTD.V	Tinkerine Studios Ltd
TTO.H.V	Atoro Capital Corp
TTR.V	Titanium Transportation Group Inc
TTZ.V	Total Telcom Inc
TUD.V	Tudor Gold Corp
TUF.V	Honey Badger Exploration Inc
TUO.V	Teuton Resources Corp
TVI.V	Tvi Pacific Inc
TVL.V	Traverse Energy Ltd
TWR.V	Tower Resources Ltd
TXR.V	Terrax Minerals Inc
TYE.V	Troymet Exploration Corp
TYP.V	Typhoon Exploration Inc
TZM.H.V	Tanzania Minerals Corp
TZR.V	Terrace Energy Corp
TZR.DB.V	Terrace Energy Corp Debs
UCM.H.V	Upper Canyon Minerals Corp
UCU.V	Ucore Rare Metals Inc
UFC.V	Urbanfund Corp
UGD.V	Unigold Inc
UGE.V	Uge International Ltd
UHO.V	United Hunter Oil and Gas Corp
UI.V	Urbanimmersive Inc
ULI.V	Ultra Lithium Inc
UNI.V	Unisync Corp Class B
UNO.V	Northern Uranium Corp
URC.V	Uracan Resources Ltd
USS.V	Uniserve Communications Corp
UTY.V	Unity Energy Corp
UVN.V	Uravan Minerals Inc
VAN.V	Vangold Mining Corp
VANC.V	Vanc Pharmaceuticals Inc
VAU.V	Viva Gold Corp.
VAX.V	Vantex Resources Ltd
VCI.V	Vitreous Glass Inc
VCOM.V	Vivere Communities Inc
VCV.V	Vatic Ventures Corp
VDO.H.V	Nevado Resources Corporation
VEIN.V	Enforcer Gold Corp
VENZ.V	Venzee Technologies Inc.
VERT.H.V	Vertical Exploration Inc
VG.V	Volcanic Gold Mines Inc
VGD.V	Visible Gold Mines Inc
VGL.V	Vigil Health Solutions Inc
VGM.V	Global Gardens Group Inc
VGN.V	Greencastle Res Ltd
VHI.V	Vitalhub Corp
VIO.V	Societe D Exploration Miniere Vior Inc
VIPR.V	Silver Viper Minerals Corp
VIR.V	Viridium Pacific Group Ltd
VIS.V	Visionstate Corp
VIT.V	Victoria Gold Corp
VIV.V	Avivagen Inc
VIVO.V	Vivo Cannabis Inc.
VLC.V	Velocity Minerals Ltd
VLI.V	Vision Lithium Inc.
VLI.WT.V	Vision Lithium Inc Wts
VLT.V	Voltaic Minerals Corp
VLU.P.V	Value Capital Trust
VLV.V	Venerable Ventures Ltd
VM.V	Voyageur Minerals Ltd
VML.V	Viscount Mining Corp
VMY.H.V	Voice Mobility International Inc
VO.V	Valore Metals Corp.
VOLT.V	Volt Energy Corp
VONE.V	Vanadium One Energy Corp
VPI.V	Vitality Products Inc
VPT.V	Ventripoint Diagnostics Ltd
VPY.V	Versapay Corp
VQA.V	Valterra Resource Corp
VQS.V	Viq Solutions Inc
VR.V	Victory Resources Corp
VRO.V	Valoro Resources Inc.
VRR.V	Vr Resources Ltd
VRY.V	Petro Victory Energy Corp
VSR.V	Vanstar Mining Resources Inc
VTI.V	Valdor Technology International Inc
VTT.V	Vendetta Mining Corp
VTX.V	Vertex Resource Group Ltd.
VUI.V	Virginia Energy Resources Inc
VUL.V	Vulcan Minerals Inc
VUX.V	Vital Energy Inc
VVC.V	Vvc Exploration Corp
VXL.V	Vaxil Bio Ltd
VYC.V	Vanity Capital Inc
WA.V	Western Atlas Resources Inc.
WAF.V	West African Resources Ltd
WAR.V	War Eagle Mining Company Inc
WATR.V	Current Water Technologies Inc.
WAV.H.V	Pecap Resources Inc
WAVE.V	Waverly Pharma Inc.
WBE.V	Westbond Enterprises Corp
WCC.V	Consolidated Woodjam Copper Corp
WCE.V	Wescan Energy Corp
WDG.V	Giyani Metals Corp
WEB.V	Westbridge Energy Corp
WED.V	The Westaim Corp
WEE.V	Wavefront Technology Solutions Inc
WELL.V	Wellness Lifestyles Inc
WGF.V	Wescan Goldfields Inc
WGO.V	White Gold Corp
WHM.V	White Metal Resources Corp
WHN.V	Westhaven Ventures Inc
WHY.V	West High Yield Resources Ltd
WI.V	The Western Investment Co of Cda Ltd
WIF.H.V	Windfire Capital Corp
WIL.V	Wilton Resources Inc
WKG.V	Westkam Gold Corp
WKM.V	West Kirkland Mining Inc
WKM.WT.V	West Kirkland Mining Inc Wts
WLF.V	Wolfden Resources Corp
WMD.V	Weedmd Inc
WMK.H.V	Whitemud Resources Inc
WML.V	Wealth Minerals Ltd
WMR.V	Westminster Resources Ltd
WNDR.V	The Wonderfilm Media Corporation
WOD.H.V	Woden Venture Capital Corporation
WOW.V	Wow Unlimited Media Inc
WOW.A.V	Wow Unlimited Media Inc Cls A
WP.V	Western Pacific Trust Company
WPQ.V	Wpc Resources Inc
WR.H.V	Worldwide Resources Corp
WRI.V	Waseco Resources Inc
WRP.V	Western Pacific Resources Corp
WRR.V	Walker River Resources Corp
WSK.V	Wildsky Resources Inc.
WT.H.V	Wangton Capital Corp
WTER.V	The Alkaline Water Co Inc
WTR.V	Westcore Energy Ltd
WTR.RT.V	Westcore Energy Ltd RTS
XAG.V	Xtierra Inc
XBC.V	Xebec Adsorption Inc
XIA.V	Xiana Mining Inc
XIM.V	Ximen Mining Corp
XL.V	Xxl Energy Corp.
XLY.V	Auxly Cannabis Group Inc.
XLY.WT.V	Auxly Cannabis Group Inc Wts
XLY.WT.A.V	Auxly Cannabis Group Inc Wts A
XND.V	Xander Resources Inc
XOP.V	Canadian Overseas Petroleum Limited
XTM.V	Transition Metals Corp
XTT.V	X Terra Resources Inc
XX.V	Avante Logixx Inc
YAK.V	Mongolia Growth Group Ltd
YD.V	Ydreams Global Interactive Tech Inc
YES.V	Char Technologies Ltd
YFI.V	Edgewater Wireless Systems Inc
YMI.V	Yellowhead Mining Inc
YNV.V	Ynvisible Interactive Inc
YOO.V	Yangaroo Inc
YSC.H.V	Yongsheng Capital Inc
YTY.V	Wi2Wi Corp
Z.V	Zinc One Resources Inc
ZAD.V	Zadar Ventures Ltd
ZC.V	Zimtu Capital Corp
ZDC.V	Zedcor Energy Inc
ZEE.V	Zenith Energy Ltd
ZEN.V	Zenyatta Ventures Ltd
ZFR.V	Zephyr Minerals Ltd
ZKL.V	China Keli Electric Company Ltd
ZMA.V	Zoomaway Travel Inc
ZMD.V	Zoommed Inc
ZMS.V	Zecotek Photonics Inc
ZNC.H.V	Zincore Metals Inc
ZNG.V	Group Eleven Resources Corp
ZNX.V	Zincx Resources Corp.
ZOM.V	Zomedica Pharmaceuticals Corp
ZON.V	Zonte Metals Inc
ZUM.V	Zoomermedia Limited
