,ticker,numOfFirmsHoldingInTop10,numOfHolders,priorQDate,recQDate,priorQShares,recQShares,fundNumPercentChange,fundsCreatingNewPos,fundsAddingPos,fundsClosingPos,fundsReducingPos
allFirms,MMP,35.0,607.0,2018-03-31,2018-06-30,145705000.0,144978000.0,-0.5,61.0,178.0,47.0,209.0
hedgeFunds,MMP,13.0,58.0,2018-03-31,2018-06-30,40548000.0,43638000.0,7.62,10.0,18.0,1.0,22.0
allFirms,MMS,2.0,316.0,2018-03-31,2018-06-30,61899000.0,60012000.0,-3.05,34.0,117.0,37.0,120.0
hedgeFunds,MMS,1.0,47.0,2018-03-31,2018-06-30,6651000.0,6704000.0,0.8,7.0,22.0,9.0,17.0
allFirms,MMT,0.0,71.0,2018-03-31,2018-06-30,12345000.0,11967000.0,-3.06,22.0,22.0,,
hedgeFunds,MMT,0.0,3.0,2018-03-31,2018-06-30,1313000.0,1485000.0,13.1,2.0,1.0,,
allFirms,MN,0.0,55.0,2018-03-31,2018-06-30,8295999.999999999,7889000.0,-4.91,5.0,10.0,9.0,18.0
hedgeFunds,MN,0.0,15.0,2018-03-31,2018-06-30,4098000.0,3994000.0,-2.54,2.0,3.0,1.0,6.0
allFirms,MNK,4.0,303.0,2018-03-31,2018-06-30,98249000.0,98375000.0,0.13,52.0,72.0,60.0,107.0
hedgeFunds,MNK,2.0,34.0,2018-03-31,2018-06-30,31294000.0,27586000.0,-11.85,10.0,7.0,11.0,14.0
allFirms,MNR,4.0,205.0,2018-03-31,2018-06-30,52005000.0,53451000.0,2.78,23.0,83.0,12.0,52.0
hedgeFunds,MNR,1.0,20.0,2018-03-31,2018-06-30,6666000.0,6476000.0,-2.85,3.0,12.0,2.0,5.0
allFirms,MO,34.0,1598.0,2018-03-31,2018-06-30,1193000000.0,1193000000.0,0.04,91.0,568.0,97.0,721.0
hedgeFunds,MO,2.0,127.0,2018-03-31,2018-06-30,68174000.0,68369000.0,0.29,20.0,46.0,16.0,41.0
allFirms,MOD,2.0,162.0,2018-03-31,2018-06-30,43659000.0,46659000.0,6.87,20.0,68.0,34.0,50.0
hedgeFunds,MOD,1.0,29.0,2018-03-31,2018-06-30,4259000.0,4842000.0,13.69,4.0,14.0,6.0,9.0
allFirms,MODN,3.0,109.0,2018-03-31,2018-06-30,20925000.0,21480000.0,2.65,27.0,37.0,14.0,32.0
hedgeFunds,MODN,1.0,30.0,2018-03-31,2018-06-30,6775000.0,6290000.0,-7.16,10.0,7.0,4.0,11.0
allFirms,MOG.A,1.0,215.0,2018-03-31,2018-06-30,30170000.0,30243000.0,0.24,17.0,76.0,12.0,81.0
hedgeFunds,MOG.A,1.0,29.0,2018-03-31,2018-06-30,1493000.0,1730000.0,15.84,5.0,10.0,2.0,13.0
allFirms,MOH,9.0,283.0,2018-03-31,2018-06-30,70387000.0,71169000.0,1.11,66.0,80.0,25.0,107.0
hedgeFunds,MOH,6.0,45.0,2018-03-31,2018-06-30,9309000.0,9977000.0,7.17,18.0,8.0,8.0,17.0
allFirms,MOS,15.0,521.0,2018-03-31,2018-06-30,278110000.0,291513000.0,4.82,66.0,183.0,59.0,192.0
hedgeFunds,MOS,4.0,67.0,2018-03-31,2018-06-30,45712000.0,37437000.0,-18.1,18.0,19.0,18.0,25.0
allFirms,MOSC,1.0,22.0,2018-03-31,2018-06-30,10283000.0,14309000.0,39.15,9.0,4.0,3.0,
hedgeFunds,MOSC,1.0,15.0,2018-03-31,2018-06-30,8651000.0,12780000.0,47.73,6.0,3.0,1.0,
allFirms,MOV,0.0,195.0,2018-03-31,2018-06-30,14829000.0,15637000.0,5.45,35.0,58.0,22.0,66.0
hedgeFunds,MOV,0.0,37.0,2018-03-31,2018-06-30,1282000.0,1631000.0,27.22,13.0,10.0,6.0,14.0
allFirms,MPC,22.0,1003.0,2018-03-31,2018-06-30,368906000.0,372934000.0,1.09,122.0,322.0,76.0,388.0
hedgeFunds,MPC,8.0,111.0,2018-03-31,2018-06-30,33167000.0,46700000.0,40.8,35.0,34.0,14.0,32.0
allFirms,MPLX,23.0,304.0,2018-03-31,2018-06-30,254292000.0,247013000.0,-2.86,31.0,115.0,27.0,97.0
hedgeFunds,MPLX,9.0,39.0,2018-03-31,2018-06-30,92771000.0,94373000.0,1.73,2.0,15.0,3.0,15.0
allFirms,MPO,,,,,,,,,,,
hedgeFunds,MPO,,,,,,,,,,,
allFirms,MPW,6.0,355.0,2018-03-31,2018-06-30,285951000.0,280965000.0,-1.74,29.0,148.0,34.0,113.0
hedgeFunds,MPW,1.0,26.0,2018-03-31,2018-06-30,17771000.0,17844000.0,0.41,5.0,12.0,6.0,7.0
allFirms,MRC,2.0,159.0,2018-03-31,2018-06-30,87737000.0,86971000.0,-0.87,25.0,31.0,23.0,71.0
hedgeFunds,MRC,1.0,22.0,2018-03-31,2018-06-30,30520000.0,28565000.0,-6.41,5.0,7.0,11.0,9.0
allFirms,MRK,114.0,1950.0,2018-03-31,2018-06-30,1974000000.0,1956000000.0,-0.91,118.0,753.0,76.0,837.0
hedgeFunds,MRK,19.0,174.0,2018-03-31,2018-06-30,127868000.0,108571000.0,-15.09,19.0,55.0,19.0,77.0
allFirms,MRO,16.0,649.0,2018-03-31,2018-06-30,670199000.0,688019000.0,2.66,92.0,222.0,58.0,224.0
hedgeFunds,MRO,6.0,77.0,2018-03-31,2018-06-30,68583000.0,82381000.0,20.12,14.0,25.0,13.0,31.0
allFirms,MRT,,,,,,,,,,,
hedgeFunds,MRT,,,,,,,,,,,
allFirms,MS,25.0,1006.0,2018-03-31,2018-06-30,1514000000.0,1473000000.0,-2.72,101.0,348.0,98.0,377.0
hedgeFunds,MS,11.0,113.0,2018-03-31,2018-06-30,69015000.0,78387000.0,13.58,23.0,45.0,28.0,34.0
allFirms,MSCI,9.0,468.0,2018-03-31,2018-06-30,82319000.0,81041000.0,-1.55,82.0,145.0,46.0,191.0
hedgeFunds,MSCI,3.0,52.0,2018-03-31,2018-06-30,6103000.0,6140000.0,0.59,17.0,14.0,15.0,18.0
allFirms,MSD,0.0,49.0,2018-03-31,2018-06-30,6973000.0,7188000.0,3.08,6.0,14.0,16.0,
hedgeFunds,MSD,0.0,5.0,2018-03-31,2018-06-30,1254000.0,1211000.0,-3.49,1.0,2.0,1.0,
allFirms,MSG,,,,,,,,,,,
hedgeFunds,MSG,,,,,,,,,,,
allFirms,MSGN,5.0,199.0,2018-03-31,2018-06-30,61941000.0,62874000.0,1.51,25.0,64.0,26.0,71.0
hedgeFunds,MSGN,3.0,31.0,2018-03-31,2018-06-30,16114999.999999998,15411000.0,-4.37,3.0,9.0,8.0,18.0
allFirms,MSI,6.0,585.0,2018-03-31,2018-06-30,137958000.0,139765000.0,1.31,59.0,200.0,61.0,208.0
hedgeFunds,MSI,1.0,53.0,2018-03-31,2018-06-30,9504000.0,6736000.0,-29.13,6.0,18.0,20.0,23.0
allFirms,MSL,0.0,62.0,2018-03-31,2018-06-30,10084000.0,10286000.0,2.0,9.0,29.0,3.0,17.0
hedgeFunds,MSL,0.0,15.0,2018-03-31,2018-06-30,5374000.0,5322000.0,-0.97,3.0,5.0,1.0,5.0
allFirms,MSM,4.0,323.0,2018-03-31,2018-06-30,43959000.0,42318000.0,-3.73,42.0,133.0,33.0,98.0
hedgeFunds,MSM,0.0,47.0,2018-03-31,2018-06-30,6623000.0,5099000.0,-23.01,8.0,23.0,9.0,15.0
allFirms,MT,0.0,192.0,2018-03-31,2018-06-30,50033000.0,34700000.0,-30.65,29.0,69.0,29.0,59.0
hedgeFunds,MT,0.0,31.0,2018-03-31,2018-06-30,14801000.0,9266000.0,-37.4,10.0,12.0,5.0,6.0
allFirms,MTB,9.0,648.0,2018-03-31,2018-06-30,114734000.0,116757000.0,1.76,80.0,220.0,48.0,221.0
hedgeFunds,MTB,4.0,79.0,2018-03-31,2018-06-30,6019000.0,10030000.0,66.66,18.0,34.0,8.0,22.0
allFirms,MTD,6.0,477.0,2018-03-31,2018-06-30,23454000.0,23397000.0,-0.24,44.0,143.0,72.0,196.0
hedgeFunds,MTD,1.0,41.0,2018-03-31,2018-06-30,1590000.0,2092000.0,31.58,10.0,8.0,25.0,15.0
allFirms,MTDR,3.0,277.0,2018-03-31,2018-06-30,93439000.0,103704000.0,10.99,43.0,139.0,35.0,56.0
hedgeFunds,MTDR,3.0,29.0,2018-03-31,2018-06-30,16735000.0,18237000.0,8.97,7.0,9.0,11.0,10.0
allFirms,MTG,6.0,281.0,2018-03-31,2018-06-30,338930000.0,330540000.0,-2.48,41.0,98.0,53.0,101.0
hedgeFunds,MTG,2.0,56.0,2018-03-31,2018-06-30,26412000.0,35927000.0,36.03,15.0,17.0,16.0,17.0
allFirms,MTH,0.0,208.0,2018-03-31,2018-06-30,37763000.0,38055000.0,0.77,32.0,78.0,16.0,59.0
hedgeFunds,MTH,0.0,28.0,2018-03-31,2018-06-30,6651000.0,6198000.0,-6.81,6.0,8.0,9.0,13.0
allFirms,MTL,0.0,39.0,2018-03-31,2018-06-30,11897000.0,11024000.0,-7.34,6.0,10.0,14.0,
hedgeFunds,MTL,0.0,4.0,2018-03-31,2018-06-30,3162000.0,3059000.0,-3.27,1.0,2.0,1.0,
allFirms,MTN,11.0,410.0,2018-03-31,2018-06-30,39807000.0,38752000.0,-2.65,74.0,138.0,39.0,126.0
hedgeFunds,MTN,6.0,54.0,2018-03-31,2018-06-30,3803000.0,3467000.0,-8.84,15.0,14.0,12.0,17.0
allFirms,MTOR,0.0,215.0,2018-03-31,2018-06-30,81216000.0,78303000.0,-3.59,29.0,63.0,33.0,88.0
hedgeFunds,MTOR,0.0,38.0,2018-03-31,2018-06-30,14884000.0,13435000.0,-9.74,8.0,7.0,11.0,22.0
allFirms,MTRN,1.0,169.0,2018-03-31,2018-06-30,17928000.0,18107000.0,0.99,21.0,71.0,13.0,46.0
hedgeFunds,MTRN,1.0,22.0,2018-03-31,2018-06-30,1832000.0,1938000.0,5.8,4.0,11.0,3.0,7.0
allFirms,MTW,2.0,160.0,2018-03-31,2018-06-30,29310000.0,29146000.0,-0.56,27.0,63.0,35.0,38.0
hedgeFunds,MTW,1.0,32.0,2018-03-31,2018-06-30,8276999.999999999,7045000.0,-14.88,13.0,8.0,10.0,10.0
allFirms,MTX,2.0,223.0,2018-03-31,2018-06-30,33201000.0,33275000.0,0.22,18.0,73.0,17.0,78.0
hedgeFunds,MTX,1.0,30.0,2018-03-31,2018-06-30,2858000.0,2856000.0,-0.07,4.0,10.0,2.0,13.0
