,ticker,numOfFirmsHoldingInTop10,numOfHolders,priorQDate,recQDate, priorQShares , recQShares ,fundNumPercentChange,fundsCreatingNewPos,fundsAddingPos,fundsClosingPos,fundsReducingPos
hedgeFunds,EFAV,1,13,3/31/2018,6/30/2018," 2,185,000.00 "," 1,973,000.00 ",-9.69,4,4,4,
allFirms,EFV,24,301,3/31/2018,6/30/2018,89923000,72345000,-19.55,114,36,97,
hedgeFunds,EFV,1,10,3/31/2018,6/30/2018," 5,757,000.00 "," 6,216,000.00 ",7.99,6,1,1,
allFirms,EMAG,,,,,,,,,,,
hedgeFunds,EMAG,,,,,,,,,,,
allFirms,EMAN,0,27,3/31/2018,6/30/2018,10119000,9871000,-2.45,5,5,,
hedgeFunds,EMAN,0,2,3/31/2018,6/30/2018," 6,211,000.00 "," 6,135,000.00 ",-1.23,2,1,,
allFirms,EMLP,10,187,3/31/2018,6/30/2018,56051000,56919000,1.55,21,72,18,75
hedgeFunds,EMLP,0,7,3/31/2018,6/30/2018," 1,054,000.00 "," 1,260,000.00 ",19.56,1,3,2,2
allFirms,EMMF,,,,,,,,,,,
hedgeFunds,EMMF,,,,,,,,,,,
allFirms,EMX,,,,,,,,,,,
hedgeFunds,EMX,,,,,,,,,,,
allFirms,ENSV,0,26,3/31/2018,6/30/2018,9666000,10446000,8.07,9,6,,
hedgeFunds,ENSV,0,6,3/31/2018,6/30/2018," 4,175,000.00 "," 4,301,000.00 ",3.02,3,1,,
allFirms,ENTR,,,,,,,,,,,
hedgeFunds,ENTR,,,,,,,,,,,
allFirms,EPI,4,161,3/31/2018,6/30/2018,44890000,42239000,-5.91,57,22,58,
hedgeFunds,EPI,0,11,3/31/2018,6/30/2018," 1,611,000.00 "," 1,123,000.00 ",-30.31,6,1,5,
allFirms,EPM,2,110,3/31/2018,6/30/2018,23842000,23257000,-2.45,19,45,28,
hedgeFunds,EPM,1,19,3/31/2018,6/30/2018," 11,038,000.00 "," 10,098,000.00 ",-8.51,4,8,7,
allFirms,EURZ,,,,,,,,,,,
hedgeFunds,EURZ,,,,,,,,,,,
allFirms,EVBN,1,58,3/31/2018,6/30/2018,2611000,2643000,1.23,25,2,13,
hedgeFunds,EVBN,1,5,3/31/2018,6/30/2018," 1,047,000.00 "," 1,008,000.00 ",-3.79,2,2,2,
allFirms,EVV,7,151,3/31/2018,6/30/2018,38239000,40117000,4.91,27,44,15,50
hedgeFunds,EVV,0,15,3/31/2018,6/30/2018," 1,897,000.00 "," 3,377,000.00 ",78.09,5,6,1,3
allFirms,EWA,5,164,3/31/2018,6/30/2018,48644000,44794000,-7.91,58,25,46,
hedgeFunds,EWA,0,13,3/31/2018,6/30/2018," 2,442,000.00 "," 1,415,000.00 ",-42.06,6,5,4,
allFirms,EWC,5,225,3/31/2018,6/30/2018,59374000,67597000,13.85,28,78,28,63
hedgeFunds,EWC,0,13,3/31/2018,6/30/2018," 1,355,000.00 "," 1,180,000.00 ",-12.93,4,3,2,5
allFirms,EWG,4,187,3/31/2018,6/30/2018,52709000,45677000,-13.34,22,43,25,83
