,52WeekChange,SandP52WeekChange,annualHoldingsTurnover,annualReportExpenseRatio,auditRisk,beta,beta3Year,boardRisk,bookValue,category,compensationRisk,currentPrice,currentRatio,dateShortInterest,debtToEquity,earningsGrowth,earningsQuarterlyGrowth,ebitda,ebitdaMargins,enterpriseToEbitda,enterpriseToRevenue,enterpriseValue,financialCurrency,fiveYearAverageReturn,floatShares,forwardEps,forwardPE,freeCashflow,fullTimeEmployees,fundFamily,fundInceptionDate,grossMargins,grossProfits,heldPercentInsiders,heldPercentInstitutions,industry,lastCapGain,lastDividendValue,lastFiscalYearEnd,lastSplitDate,lastSplitFactor,legalType,maxAge,maxAge_finData,morningStarOverallRating,morningStarRiskRating,mostRecentQuarter,netIncomeToCommon,nextFiscalYearEnd,numberOfAnalystOpinions,operatingCashflow,operatingMargins,overallRisk,pegRatio,priceHint,priceToBook,priceToSalesTrailing12Months,profitMargins,profitMargins_finData,quickRatio,recommendationKey,recommendationMean,returnOnAssets,returnOnEquity,revenueGrowth,revenuePerShare,revenueQuarterlyGrowth,sector,shareHolderRightsRisk,sharesOutstanding,sharesPercentSharesOut,sharesShort,sharesShortPreviousMonthDate,sharesShortPriorMonth,shortPercentOfFloat,shortRatio,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,threeYearAverageReturn,totalAssets,totalCash,totalCashPerShare,totalDebt,totalRevenue,trailingEps,yield,ytdReturn
EXE.TO,-0.088139236,0.15864205,,,2.0,0.171275,,2.0,1.468,,5.0,8.06,0.64,1536019200,401.162,,,101687000,0.09198,11.711,1.077,1190903168,CAD,,87457459,0.37,21.783785,15164500,23700.0,,,0.12372,136622000,,,Long-Term Care Facilities,,,1514678400,,,,1,86400,,,1530316800,26387000,1577750400,4,51768000,0.06303,3.0,,2,5.4904633,,0.03332,0.03332,0.556,hold,2.8,0.046630003,0.19958,0.021,12.49,,Healthcare,3.0,88209000,0.0286,2516942,1533081600,2334800,,10.26,9.0,8.5,8.75,8.75,,,64822000,0.735,519180000,1105539968,0.347,,
EXF.TO,0.04444444,0.15864205,,,,0.930481,,,3.328,,,5.04,1.417,1536019200,11.178,,,17155000,0.06515,16.766,1.092,287622976,USD,,19049177,0.29,17.37931,7061750,1577.0,,,0.61477,150669000,,,Communication Equipment,,,1504137600,,,,1,86400,,,1527724800,-7107000,1567209600,6,15538000,0.01233,,0.77,2,1.514423,,-0.026989998,-0.026989998,0.898,hold,2.8,0.00758,-0.04093,0.234,4.797,,Technology,,23473000,0.0247,1363425,1533081600,1362057,,49.98,5.39,3.75,4.52,4.38,,,19479000,0.353,20499000,263311008,-0.129,,
EXN.TO,-0.5153061,0.15864205,,,,4.333086,,,0.486,,,0.97,3.193,1536019200,1.447,,,4135000,0.13777,22.602,3.114,93459064,USD,,76785146,0.18,5.388889,4077625,311.0,,,0.3784,3662000,,,Silver,,,1514678400,1367971200,1/5,,1,86400,,,1530316800,-4322000,1577750400,3,6388000,-0.03395,,,2,1.9958848,,-0.144,-0.144,2.789,buy,2.0,-0.01192,-0.11582,1.767,0.341,,Basic Materials,,98582800,0.003,292464,1533081600,293942,,5.77,2.7,1.5,2.15,2.25,,,15675000,0.159,693000,30013000,-0.049,,
FC.TO,0.040702343,0.15864205,,,,-0.088629,,,10.933,,,13.05,4.642,1536019200,94.135,0.01,0.09,,0.0,,18.595,602503744,CAD,,25628312,0.73,17.876713,,1.0,,,1.0,29418355,,,Specialty Finance,,,1514678400,,,,1,86400,,,1530316800,24748808,1577750400,2,42329128,0.84949994,,,2,1.193634,,0.76381,0.76381,4.641,buy,2.5,0.04699,0.08998,0.089,1.261,,Financial Services,,26113000,0.0067000003,174900,1533081600,183943,,7.3,11.12,10.35,10.73,10.73,,,7029437,0.269,268758976,32401930,0.943,,
FCU.TO,-0.01515162,0.15864205,,,,0.004759,,,0.677,,,0.63,22.143,1536019200,,,,-6469289,0.0,-42.759,,276620384,CAD,,381089832,-0.01,-63.0,-16829492,21.0,,,0.0,,,,Industrial Metals & Minerals,,,1514678400,,,,1,86400,,,1530316800,-5930081,1577750400,2,-4646592,0.0,,,2,0.9305761,,0.0,0.0,22.028,buy,1.7,-0.012359999,-0.01792,,,,Basic Materials,,485824000,0.0077,3756766,1533081600,3706300,,10.57,2.1,1.5,1.8,1.8,,,29448548,0.061,0,,-0.012,,
FEC.TO,-0.10905099,0.15864205,,,,1.08895,,,11.625,,,18.4,1.441,1536019200,28.248,,,362536000,0.26903,4.673,1.257,1693983104,USD,,67966467,1.82,10.10989,174451376,1247.0,,,0.36371,386186000,,,Oil & Gas E&P,,,1514678400,1530057600,2/1,,1,86400,,,1530316800,-361216000,1577750400,4,415720992,-0.0682,,-0.35,2,1.5827956,,-0.26805001,-0.26805001,1.069,buy,1.6,-0.02219,-0.25031,0.414,13.474,,Energy,,99981600,0.0064999997,649100,1533081600,549700,,4.75,26.93,20.39,23.95,24.24,,,550840000,5.509,352806016,1347570944,-3.612,,
FFH.TO,0.108908296,0.15864205,,,2.0,0.021784,,7.0,453.994,,9.0,685.98,2.152,1536019200,36.307,-0.856,-0.797,2400499968,0.13084,8.594,1.124,20629676032,USD,,25061634,44.26,15.498871,-652724992,,,,0.45224,6409900000,,,Insurance - Property & Casualty,,,1514678400,,,,1,86400,,,1530316800,2048600064,1577750400,3,-988700032,0.117910005,9.0,,2,1.5109891,,0.11412,0.11412,1.377,buy,2.5,0.02454,0.15107,0.292,662.422,,Financial Services,10.0,25844300,0.0016,43658,1533081600,49663,,1.21,654.1,577.15,627.08,650.0,,,11124500480,405.028,6694900224,18346999808,71.933,,
FGE.TO,-0.4934579,0.15864205,,,,-0.181459,,,7.534,,,2.65,1.545,1536019200,184.203,,,-11216000,-0.07249,-19.999,1.45,224312720,CAD,,10591104,0.32,8.281251,-3501250,339.0,,,0.05844,15854000,,,Paper & Paper Products,,,1514678400,,,,1,86400,,,1530316800,-43006000,1577750400,1,1295000,-0.20257999,,-0.02,2,0.3517388,,-0.68160003,-0.68160003,0.886,buy,2.0,-0.045840003,-0.26644,0.17,10.709,,Basic Materials,,14949900,0.0016,23500,1533081600,22900,,3.17,4.5,4.5,4.5,4.5,,,24118000,1.613,207468000,154728000,-7.299,,
FM.TO,0.19378686,0.15864205,,,1.0,5.457425,,8.0,13.486,,5.0,16.84,1.804,1536019200,70.063,,,1432999936,0.38772,12.275,4.759,17589729280,USD,,677300438,1.35,12.474074,-1430375040,20000.0,,,0.17641,335000000,,,Copper,,,1514678400,1312934400,5/1,,1,86400,,,1530316800,15000000,1577750400,21,1672999936,0.14394,7.0,0.58,2,1.2487024,,0.0040599997,0.0040599997,1.085,buy,2.1,0.015570001,0.00918,0.341,5.386,,Basic Materials,6.0,689457984,0.0070999996,4883056,1533081600,4825583,,2.04,24.0,13.81,18.28,17.65,,,1458000000,2.124,7322999808,3696000000,0.021,,
FN.TO,0.06311929,0.15864205,,,,1.230126,,,7.921,,,28.99,8.46,1536019200,6117.162,-0.326,-0.322,,0.0,,71.396,34212634624,CAD,,15825405,2.95,9.827119,,936.0,,,0.87025,437141000,,,Specialty Finance,,,1514678400,,,,1,86400,,,1530316800,183576000,1577750400,6,-270544000,0.5331,,0.67,2,3.6598914,,0.38898,0.38898,8.256,hold,3.0,0.00561,0.32046002,-0.249,7.991,,Financial Services,,59967400,0.0143,855286,1533081600,951570,,80.17,30.0,27.0,28.5,28.5,,,2649734912,44.186,35015127040,479193984,3.061,,
