Year,payoutRatio,debtEquityRatio,netMargin,roic,issuanceOfStock,dividendsPaid,Underlying
2017,0.474328545,14.97260322,0.321408496,0.046492478,313000000,-3797000000,BNS
2016,0.505550091,15.9227643,0.297309717,0.055423193,391000000,-3598000000,BNS
2015,0.485600228,16.3597433,0.317275071,0.044862532,101000000,-3406000000,BNS
2014,0.461745156,16.82319582,0.32286197,0.049732088,753000000,-3265000000,BNS
2017,,12.8724701,0.295118697,0.044890398,,,BOH
2016,0.447242107,13.19874442,0.298469337,,9079000,-81157000,BOH
2015,0.487648098,12.84535502,0.277407795,,15364000,-78367000,BOH
2014,0.488585763,13.01516843,0.28880658,,9995000,-79660000,BOH
2017,0.890686379,7.751366957,0.06460506,0.033429493,7016000,-95910000,BPOP
2016,0.304267367,6.500577237,0.128510615,0.047111936,7437000,-65932000,BPOP
2015,0.021507934,6.064374766,0.530717005,0.068604947,6226000,-19257000,BPOP
2014,-0.011875977,6.836090915,-0.295340444,-0.001056422,5394000,-3723000,BPOP
2017,0.387473709,2.019921411,0.098824453,7.399253731,52000000,-165800000,BR
2016,0.465728274,2.137876071,0.078887655,8.371653543,60900000,-152200000,BR
2015,0.449430894,1.747680536,0.106144287,10.29218107,24800000,-138200000,BR
2014,0.425983978,1.552381979,0.106562245,13.97904192,62100000,-122300000,BR
2017,,2.992419778,-0.033630719,0.74673083,509875000,,BRFS
2016,-0.509272288,2.595059122,-0.011039668,1.269567072,6352000,-189653000,BRFS
2015,0.02779951,1.964385519,0.096630387,4.371166511,82437000,-86489000,BRFS
2014,0.326292698,1.309375717,0.076707279,4.292413822,99765000,-726013000,BRFS
2017,0.446112566,0.261640039,0.090364202,2.435434859,2040000,-27932000,BRKS
2016,-0.39586332,0.238788853,-0.123992768,0.517508039,1888000,-27503000,BRKS
2015,1.898038113,0.200392377,0.02572968,0.146686468,1807000,-26992000,BRKS
2014,0.729409139,0.21022136,0.064950046,0.039869984,1838000,-22875000,BRKS
2017,0.194459875,1.225404509,0.215170654,12.10371589,17422000,-77712000,BRO
2016,0.272871673,1.229772677,0.146070399,12.25934481,15983000,-70262000,BRO
2015,0.263474137,1.327907187,0.146846829,13.84506378,15890000,-64108000,BRO
2014,0.286781765,1.34487036,0.131994437,13.44930526,14808000,-59334000,BRO
2017,0.246877739,0.534252585,0.040344484,,478000,-4507000,BSET
2016,0.260723988,0.539896516,0.036637981,1.109430052,296000,-4127000,BSET
2015,0.180296579,0.592994148,0.047416384,,4356000,-3684000,BSET
2014,0.320787181,0.535056621,0.027290763,0.487467784,608000,-2983000,BSET
2017,0.28437407,4.998640476,0.087598905,5.316642943,17117000,-42043000,BWXT
2016,0.204144064,9.52822328,0.118057647,3.81343396,18323000,-37370000,BWXT
2015,0.262267524,4.123812642,0.092873406,4.078253351,7319000,-34479000,BWXT
2014,1.479141146,1.845126284,0.020259063,0.284857777,4604000,-43469000,BWXT
2017,0.673301009,0.732283854,0.059294635,7.266401511,,-1.62887E+11,CAJ
2016,1.087354796,0.77032254,0.044289453,2.976692766,,-1.6381E+11,CAJ
2015,0.793387191,0.419128814,0.057945604,4.013082824,790000000,-1.74711E+11,CAJ
2014,0.572180991,0.44317611,0.068360551,2.652449303,790000000,-1.4579E+11,CAJ
2017,,0.204299022,0.083790883,0.52633718,,,CALM
2016,,0.223809077,-0.06912713,-0.628963774,,,CALM
2015,0.382678197,0.212399552,0.165583528,1.134724977,,-120942000,CALM
2014,0.303310305,0.318508338,0.102310218,0.875489204,136000,-48910000,CALM
2017,3.949765808,0.581342902,0.010047283,0.154423743,579000,-33731000,CATO
2016,0.750487164,0.579367705,0.049355561,0.27512805,731000,-35432000,CATO
2015,0.502259059,0.556574946,0.066108787,0.450123971,488000,-33572000,CATO
2014,0.560080658,0.599897948,0.061304227,0.535891368,521000,-33886000,CATO
2017,0.338772339,2.263933401,0.119387755,0.041780795,151000000,-1308000000,CB
2016,0.283675937,2.309911963,0.13135324,0.057268678,167000000,-1173000000,CB
2015,0.304163726,2.511446714,0.149409532,0.053100553,131000000,-862000000,CB
2014,0.3021381,2.320647582,0.148803004,0.056611294,127000000,-862000000,CB
2017,0.294000498,0.68980261,0.180207259,3.726153846,2000000,-118100000,CBOE
2016,0.420235546,0.459893048,0.265680558,,2000000,-78500000,CBOE
2015,0.35804878,0.481977315,0.30882796,,2000000,-73400000,CBOE
2014,0.353157911,0.535192568,0.307366033,,2000000,-66999000,CBOE
2017,0.315041815,8.599205763,0.26613254,0.04639578,,-100619000,CBSH
2016,0.348849454,9.842748551,0.246309265,0.039683811,,-96070000,CBSH
2015,0.356277253,10.02953447,0.248789682,0.036871529,1914000,-93961000,CBSH
2014,0.337305256,9.911203807,0.25158542,0.036952299,8652000,-88291000,CBSH
2017,0.413390659,5.571332129,0.297205362,0.067645375,14623000,-62305000,CBU
2016,0.530266251,6.233483849,0.246323957,,19431000,-55048000,CBU
2015,0.540096459,6.498085736,0.249759084,,26345000,-49273000,CBU
2014,0.505489694,6.581141487,0.256415078,,10948000,-46178000,CBU
2017,0.423051132,10.3516174,0.22644876,,19294000,-10094000,CCNE
2016,0.464751704,11.15304744,0.216600407,,19294000,-9546000,CCNE
2015,0.428661531,10.31742879,0.248730964,,19294000,-9515000,CCNE
2014,0.412628933,10.61090545,0.26447664,0.050372488,587000,-9521000,CCNE
2017,0.418056894,9.022079187,0.311923093,0.036535342,67746000,-152235000,CFR
2016,0.469876192,9.514832532,0.283284623,0.02949794,78866000,-142965000,CFR
2015,0.502004812,9.350668662,0.275602679,0.028414409,14853000,-140224000,CFR
2014,0.486518669,9.393111056,0.280568329,0.031575321,29158000,-135241000,CFR
2017,0.163886036,0.175757952,0.236884819,0.359465319,54557000,-29037000,CGNX
2016,0.168567646,0.078958112,0.287222541,0.24158827,43468000,-25213000,CGNX
2015,0.096550028,0.075198597,0.415206067,0.222180084,27582000,-18062000,CGNX
2014,0.148676791,0.115823893,0.2848758,0.260231508,16930000,-18062000,CGNX
2017,0.247894221,6.657189577,0.208371593,0.121369479,624933,-3578627,CHFN
2016,0.242412411,6.080445589,0.198571163,0.068177374,126457,-2875816,CHFN
2015,0.562496029,4.011839539,0.116953929,,126457,-3134319,CHFN
2014,0.700551272,3.491394841,0.132608767,,126457,-4171876,CHFN
2017,0.661776581,10.39834327,0.10853687,0.061201266,582000,-4917000,CHMG
2016,0.486486486,10.52836213,0.141143847,0.065591821,438000,-4878000,CHMG
2015,0.51235026,10.80370441,0.135691476,,438000,-4833000,CHMG
2014,0.58796126,10.40882899,0.112754517,0.076369307,438000,-4796000,CHMG
