,52WeekChange,SandP52WeekChange,annualHoldingsTurnover,annualReportExpenseRatio,auditRisk,beta,beta3Year,boardRisk,bookValue,category,compensationRisk,currentPrice,currentRatio,dateShortInterest,debtToEquity,earningsGrowth,earningsQuarterlyGrowth,ebitda,ebitdaMargins,enterpriseToEbitda,enterpriseToRevenue,enterpriseValue,financialCurrency,fiveYearAverageReturn,floatShares,forwardEps,forwardPE,freeCashflow,fullTimeEmployees,fundFamily,fundInceptionDate,grossMargins,grossProfits,heldPercentInsiders,heldPercentInstitutions,industry,lastCapGain,lastDividendValue,lastFiscalYearEnd,lastSplitDate,lastSplitFactor,legalType,maxAge,maxAge_finData,morningStarOverallRating,morningStarRiskRating,mostRecentQuarter,netIncomeToCommon,nextFiscalYearEnd,numberOfAnalystOpinions,operatingCashflow,operatingMargins,overallRisk,pegRatio,priceHint,priceToBook,priceToSalesTrailing12Months,profitMargins,profitMargins_finData,quickRatio,recommendationKey,recommendationMean,returnOnAssets,returnOnEquity,revenueGrowth,revenuePerShare,revenueQuarterlyGrowth,sector,shareHolderRightsRisk,sharesOutstanding,sharesPercentSharesOut,sharesShort,sharesShortPreviousMonthDate,sharesShortPriorMonth,shortPercentOfFloat,shortRatio,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,threeYearAverageReturn,totalAssets,totalCash,totalCashPerShare,totalDebt,totalRevenue,trailingEps,yield,ytdReturn
L,0.06569958,0.15247464,,,1.0,0.406204,,10.0,59.719,,9.0,50.11,0.512,1534291200,52.48,0.05,-0.004,2983000064,0.20938,8.232,1.724,24556670976,USD,,275567991,4.05,12.372839,1152249984,18100.0,,,0.47526002,6390000000,0.51594,0.26086,Insurance - Property & Casualty,,,1514678400,1147132800,3/1,,1,86400,,,1530316800,1160999936,1577750400,1,3510000128,0.14789,10.0,1.28,2,0.8390964,,0.08149,0.08149,0.512,buy,2.3,0.01648,0.059660003,0.069,43.198,,Financial Services,4.0,315982016,0.0196,6202396,1531440000,6189890,0.0218,5.84,54.0,54.0,54.0,54.0,,,5552999936,17.574,11470999552,14247000064,3.506,,
LB,-0.2954777,0.15247464,,,1.0,0.256365,,9.0,-3.493,,8.0,28.16,,1534291200,,-0.26,-0.288,2185858048,0.1675,5.621,0.942,12287458304,USD,,220945520,2.61,10.789272,,25200.0,,,0.43985,5668000000,0.17229,0.76199996,Apparel Stores,,,1517616000,959731200,2/1,,1,86400,,,1533340800,896622976,1580688000,22,,0.12267,8.0,2.15,2,,,0.0687,0.0687,,hold,2.9,,,0.083,46.689,,Consumer Cyclical,9.0,277204000,0.0679,18813872,1531440000,18177599,0.0813,4.39,44.0,20.0,31.95,31.0,,,1032000000,3.723,5808000000,13050151936,3.161,,
LCNB,-0.015831172,0.15247464,,,2.0,0.295559,,9.0,15.968,,7.0,18.85,,1534291200,,-0.179,-0.088,,0.0,,4.491,236387840,USD,,12171803,1.72,10.959302,,344.0,,,0.0,50112000,0.03255,0.29412,Banks - Regional - US,,,1514678400,1178841600,2/1,,1,86400,,,1530316800,12164000,1577750400,1,16649000,0.35614,9.0,8.91,2,1.180486,,0.23131001,0.23131001,,hold,3.0,0.00821,0.06758,0.102,5.116,,Financial Services,9.0,13300000,0.0016,21041,1531440000,24154,0.0022,0.65,24.0,24.0,24.0,24.0,,,34753000,2.613,27085000,52631000,1.182,,
LECO,0.032904387,0.15247464,,,1.0,1.25853,,4.0,14.465,,1.0,92.09,2.615,1534291200,75.377,0.13,0.122,459704000,0.15507,13.59,2.107,6247485952,USD,,60807484,5.35,17.213083,167240256,11000.0,,,0.33484,880326000,0.06769,0.72893995,Tools & Accessories,,,1514678400,1306886400,2/1,,1,86400,,,1530316800,259995008,1577750400,10,306716000,0.13064,3.0,1.47,2,6.366401,,0.08771,0.08771,1.768,buy,2.3,0.10627,0.28962,0.26,45.194,,Industrials,7.0,65172100,0.0125,817856,1531440000,1228037,0.012999999,2.46,115.0,93.0,105.2,105.5,,,496152992,7.613,711188992,2964423936,3.91,,
LEJU,0.14545453,0.15247464,,,,4.033623,,,1.766,,,1.77,1.62,1534291200,,,,-58906840,-0.14518,-2.934,0.426,172832000,USD,,27827460,0.27,6.5555553,,3593.0,,,0.80815005,288477509,0.01677,0.016929999,Real Estate Services,,,1514678400,,,,1,86400,,,1530316800,-67171216,1577750400,2,,-0.18786,,-0.28,2,1.002265,,-0.16555001,-0.16555001,1.516,hold,3.0,-0.10771,-0.25577,0.324,2.989,,Real Estate,,135764000,0.001,187872,1531440000,209744,,1.63,3.6,1.57,2.59,2.59,,,176839008,0.951,0,405734048,-0.5,,
LFUS,0.18744612,0.15247464,,,1.0,0.838093,,7.0,58.63,,5.0,219.76,3.587,1534291200,47.455,-0.209,-0.13,360231008,0.2402,16.071,3.86,5789214208,USD,,24386088,10.58,20.771267,82335504,11000.0,,,0.41169,508140000,0.02785,0.99587,Electronics Distribution,,,1514592000,865987200,2/1,,1,86400,,,1530316800,110343000,1577664000,4,316512000,0.18544,3.0,1.93,2,3.7482517,,0.07357,0.07357,2.503,hold,2.6,0.08257,0.09329,0.465,63.467,,Technology,1.0,25080600,0.026500002,663411,1531440000,764785,0.0274,3.11,249.0,215.0,236.5,241.0,,,408180992,16.275,697598016,1499732992,4.602,,
LM,-0.19376796,0.15247464,,,1.0,2.260889,,8.0,44.798,,5.0,30.34,2.414,1534291200,50.99,0.445,0.298,605230976,0.19559,7.929,1.551,4798935552,USD,,84136833,3.63,8.358127,373964000,3275.0,,,0.37589002,1153593000,0.02168,0.89708,Asset Management,,,1522454400,1096243200,3/2,,1,86400,,,1530316800,289528992,1585612800,11,506249984,0.1723,7.0,0.73,2,0.67726237,,0.09703,0.09703,1.974,hold,2.8,0.0417,0.07566,-0.058,35.045,,Financial Services,5.0,85451104,0.0496,4235016,1531440000,4752433,0.0502,3.75,45.0,31.0,38.32,37.5,,,930526976,10.89,2347296000,3094384896,3.257,,
LMNX,0.4513185,0.15247464,,,1.0,0.774751,,5.0,10.621,,2.0,29.11,6.757,1534291200,,0.01,0.023,61577000,0.19575001,18.085,3.54,1113607808,USD,,41623649,0.54,53.907406,22642376,896.0,,,0.63289,199046000,0.04838,0.84818,Medical Instruments & Supplies,,,1514678400,,,,1,86400,,,1530316800,33136000,1577750400,5,68294000,0.121379994,3.0,-4.38,2,2.7407966,,0.10717,0.10717,5.106,hold,2.7,0.049250003,0.07627,0.041,7.239,,Healthcare,5.0,44608400,0.0482,2148017,1531440000,1751766,0.060900003,4.45,37.0,20.0,29.6,30.0,,,138996000,3.116,0,314575008,0.758,,
LOB,0.34553766,0.15247464,,,2.0,-0.012571,,8.0,11.55,,5.0,29.4,,1534291200,,0.259,0.455,,0.0,,4.079,797657664,USD,,23315093,1.63,18.03681,,522.0,,,0.0,172523000,0.32849997,0.51666,Savings & Cooperative Banks,,,1514678400,,,,1,86400,,,1530316800,111298000,1577750400,2,-116841000,0.25064,10.0,,2,2.5454545,,0.56918997,0.56918997,,buy,2.5,0.03925,0.31771,0.277,4.974,,Financial Services,10.0,35473300,0.043899998,1761775,1531440000,1435164,0.122,10.21,33.0,32.0,32.5,32.5,,,395191008,9.851,3385000,195539008,2.729,,
LOW,0.4288075,0.15247464,,,1.0,1.655051,,1.0,7.128,,3.0,114.18,1.062,1534291200,273.845,0.107,0.071,8045000192,0.11409,12.65,1.443,101767880704,USD,,806973906,6.0,19.03,3844624896,310000.0,,,0.3425,23409000000,0.0015700001,0.74973,Home Improvement Stores,,,1517529600,1151884800,2/1,,1,86400,,,1533254400,3923000064,1580601600,28,5777999872,0.0925,1.0,1.38,2,16.018518,,0.055809997,0.055809997,0.181,buy,1.9,0.11051,0.69541,0.071,85.572,,Consumer Cyclical,4.0,811000000,0.011,8934604,1531440000,8740954,0.0108,2.6,140.0,95.0,118.29,119.0,,,2641999872,3.269,15831000064,70511001600,4.754,,
