,52WeekChange,debtEquityRatio,earningsGrowth,earningsQuarterlyGrowth,grossMargins,grossProfits,pegRatio,profitMargins,returnOnAssets,returnOnEquity,revenueGrowth,score,sector
NEM,-0.537700557,-0.155617576,-0.163021764,-0.171825968,0.874946245,-0.002112069,0.847888627,-0.212554068,-0.010717197,-0.612038633,-1.277529511,-0.890174295,Basic Materials
IBM,-0.666104727,1.275497555,-0.240793333,-0.268006505,-0.44192882,0.078061324,-0.094502641,0.185112076,0.268171942,0.390162633,-0.611128145,-0.899673706,Technology
TCX,-0.617675582,0.826700475,-0.459230326,-0.481617038,-1.258317939,-0.122663294,-0.111769168,0.1501247,0.167854978,0.46188535,-0.941254742,-0.911030652,Technology
GPRO,-1.221421403,0.396111027,-0.271752907,-0.287312413,-1.166940697,-0.121021019,-0.119857831,-0.62888795,-1.251156404,-0.53962714,-0.985866445,-0.918431317,Technology
SO,-0.1766146,0.308380414,-0.408163366,-0.46215972,0.138021506,0.774857851,1.656615898,0.158947739,-0.142301805,0.372518134,-0.207236983,-0.919003754,Utilities
ENB,-0.600055542,0.258905504,-0.273178267,-0.289690613,-0.420260178,0.629962621,0.628200674,0.01254386,-0.00824951,0.093464125,-1.027334482,-0.929224823,Energy
SWN,-0.425681728,0.362375416,-0.447504355,-0.473473328,0.028408784,-0.413215319,0.64712476,0.467015898,1.319983524,0.208452056,-0.922174259,-0.934953506,Energy
CRUS,-1.129315834,-0.181430765,-0.271752907,-0.287312413,-0.26695579,-0.118935027,-0.112447687,0.213101976,0.504511906,0.180826901,-1.699653682,-0.935614657,Technology
WATT,-0.684424441,-0.206687226,-0.271752907,-0.287312413,2.037591464,-0.12315399,-0.114161841,-0.096526412,-9.291249308,-2.02097132,-2.172537727,-0.935955336,Technology
EA,-0.738266355,-0.084657549,-0.58077532,-0.626722736,0.779059833,-0.101647944,-0.111358485,0.46892492,0.388568491,0.222555753,-1.735343044,-0.952789562,Technology
HTZ,-0.784088853,1.444341936,-0.379267518,-0.378552085,-1.223116163,-0.620313268,0.093503399,-0.383625651,-1.430017663,0.405600613,-0.165164454,-0.955455387,Industrials
GE,-1.666286543,0.243611501,-0.670884907,-0.608929393,-1.360353196,2.424684286,0.107571149,-1.188496829,-1.817699913,-0.728326335,-0.257904683,-0.982086261,Industrials
SOHU,-1.762083382,0.500048641,-0.271752907,-0.287312413,-0.386183186,-0.118573543,-0.115215331,-1.179079292,-0.382228517,-0.232513211,-0.535288251,-0.984652616,Technology
WES,-0.446517636,0.199790789,-0.296609193,-0.319695954,0.186620558,-0.345375352,0.624145513,0.040384358,0.694650608,0.125030602,-1.396743468,-0.987935533,Energy
GRPN,-0.740197634,0.987734985,-0.271752907,-0.287312413,-0.288844575,-0.115751512,-0.113161918,-0.174328847,-0.05439689,-0.095912351,-1.07955102,-0.988691543,Technology
BBD,-1.414634199,0.441398042,-0.103697153,-0.134094037,-0.931465748,1.936786732,-0.079433615,0.347840441,-0.436069479,-0.005120998,-1.087287859,-0.989194546,Financial Services
ITUB,-0.979928502,0.56300615,-0.234080925,-0.214189955,-0.931465748,3.538923031,0.037834964,0.338012342,-0.359345739,0.163926321,-1.170036541,-0.994962361,Financial Services
HAIN,-0.99942384,0.154014879,-0.225731302,-0.218553541,-0.829226967,-0.445180716,0.112946344,-0.852660609,-0.717552139,-0.29491576,-1.510293742,-1.000803369,Consumer Defensive
CCJ,-0.01971683,-0.167326644,-0.242668951,-0.273906843,0.328750891,-0.222017644,0.798879473,-0.925112714,-0.83234588,-0.870230343,-2.11483783,-1.00292548,Basic Materials
F,-0.801767918,1.365044524,-0.419556398,-0.420895137,-1.705725495,0.883072926,-0.122668619,-0.069367481,-0.674862568,0.124287626,-0.650848786,-1.038183003,Consumer Cyclical
OMC,-0.612100048,1.987563655,-0.182586697,-0.19402669,-1.20755609,-0.151746936,-0.096431317,0.220942999,-0.081945766,0.233366328,-0.485078783,-1.056965955,Consumer Cyclical
FTK,-1.149254889,0.049798219,-0.296609193,-0.319695954,-0.769202533,-0.406457692,-0.038197493,-1.206229673,-1.668470267,-0.057432525,-1.763456039,-1.073640282,Energy
AEM,-0.803271184,-0.163092949,-0.35351938,-0.41260866,1.173061699,-0.188733138,1.550353176,0.071319728,-0.419696636,-0.514419118,-0.678092874,-1.074047888,Basic Materials
CSIQ,-0.898111551,0.806539913,-0.608294941,-0.656615755,-1.754249299,-0.119611278,-0.11332262,0.032432704,0.026569182,0.213075567,-1.043861658,-1.081161814,Technology
