Quarter,payoutRatio,debtEquityRatio,netMargin,roic,dividendsPaid,Underyling,DivGrowth
12/31/2014,0.995627998,2.708310582,0.022449576,0,46912000,MAXR.TO,
12/31/2015,0.374952745,2.259918245,0.067462216,5.84279476,53559000,MAXR.TO,14.17%
12/31/2016,0.387310606,1.96778679,0.067800963,5.523178808,40900000,MAXR.TO,-23.64%
12/31/2017,0.472111554,2.306168057,0.061549779,5.053191489,47400000,MAXR.TO,15.89%
12/31/2014,0.363308246,0.763980709,0.495398529,0.112838994,136801540,MIC.TO,
12/31/2015,0.368318512,0.824419653,0.506046353,0.109495865,146702000,MIC.TO,7.24%
12/31/2016,0.374451896,0.812209407,0.511215315,0.097600669,156106000,MIC.TO,6.41%
12/31/2017,0.311175607,0.747936285,0.621667488,0.111479004,164147000,MIC.TO,5.15%
10/31/2014,0.541184479,22.97583687,0.279490107,0.054581844,795000000,NA.TO,
10/31/2015,0.462879277,21.48095688,0.280717651,0.06093443,717000000,NA.TO,-9.81%
10/31/2016,0.50804403,22.82762912,0.220500373,0.049924631,600000000,NA.TO,-16.32%
10/31/2017,0.436082474,21.70738318,0.30479183,0.063935555,846000000,NA.TO,41.00%
12/31/2014,0.005877473,0.025601574,97.39612317,0,9834000,OR.TO,
12/31/2015,0.342064072,0.154079757,0.633028735,0.123189664,9834000,OR.TO,0.00%
12/31/2016,0.363711918,0.166606595,0.671905165,0.138658091,15317000,OR.TO,55.76%
12/31/2017,-0.454695184,0.328302554,-0.199333071,0,19325000,OR.TO,26.17%
6/30/2015,0.37396032,1.379514061,0.126532129,11.41926721,87629000,OTEX.TO,
6/30/2016,0.348928033,1.604597767,0.155943775,13.49148858,99262000,OTEX.TO,13.28%
6/30/2017,0.117564415,1.117452704,0.44767939,0,120581000,OTEX.TO,21.48%
6/30/2018,0.601150175,1.089216976,0.086040236,0,145613000,OTEX.TO,20.76%
12/31/2014,-0.138842863,0.286570464,-0.725571919,-2.975774223,75751000,PAAS.TO,
12/31/2015,-0.183997353,0.321009819,-0.335933054,-1.863239419,41703000,PAAS.TO,-44.95%
12/31/2016,0.075995404,0.357471686,0.129179439,1.805593144,7606000,PAAS.TO,-81.76%
12/31/2017,0.126571398,0.311356429,0.148122983,1.450824055,15314000,PAAS.TO,101.34%
10/31/2014,0.472615039,18.22579451,0.271282426,0.064474452,4211000000,RY.TO,
10/31/2015,0.459848866,17.70901697,0.290162257,0.052381008,4564000000,RY.TO,8.38%
10/31/2016,0.48024988,17.24070042,0.279336358,0.0476733,4997000000,RY.TO,9.49%
10/31/2017,0.464560728,16.88656995,0.289177358,0.045489739,5309000000,RY.TO,6.24%
12/31/2014,0.473037907,12.30725248,0.072698339,0.146655092,886000000,SLF.TO,
12/31/2015,0.403063457,11.76530452,0.118553492,0.185934216,921000000,SLF.TO,3.95%
12/31/2016,0.416117784,11.72840734,0.090330032,0.206665491,1074000000,SLF.TO,16.61%
12/31/2017,0.515165031,11.88283287,0.076430081,0.15858382,1155000000,SLF.TO,7.54%
12/31/2014,0.109635623,2.082882643,0.161837907,0.443956853,146182000,SNC.TO,
12/31/2015,0.373112956,1.706140979,0.042175648,0.706036212,150863000,SNC.TO,3.20%
12/31/2016,0.610895657,1.394700588,0.030166219,0.72016991,156104000,SNC.TO,3.47%
12/31/2017,0.465789784,1.634271753,0.04092625,1.308769911,177948000,SNC.TO,13.99%
12/31/2014,0.204507046,0.804050652,0.079264264,1.781250243,33641000,STN.TO,
12/31/2015,0.245136784,0.769779937,0.065879901,1.54937337,38334000,STN.TO,13.95%
12/31/2016,0.353256705,1.168294782,0.042118513,1.202944269,46100000,STN.TO,20.26%
12/31/2017,0.572164948,1.044982334,0.028384982,1.119941492,55500000,STN.TO,20.39%
12/31/2014,-8.875123885,0.97304634,-0.002096181,0,44775000,TCW.TO,
12/31/2015,-0.027019452,1.439545237,-1.274017869,0,22366000,TCW.TO,-50.05%
12/31/2016,0,0.611094025,-0.090823823,-0.539831994,0,TCW.TO,-100.00%
12/31/2017,0,0.280744493,0.015275639,0,0,TCW.TO,
10/31/2014,0.409979424,17.22996018,0.273764259,0.037806432,3188000000,TD.TO,
10/31/2015,0.43528817,16.53903796,0.266012171,0.033481887,3444000000,TD.TO,8.03%
10/31/2016,0.431697086,16.1767519,0.275785524,0.033039352,3808000000,TD.TO,10.57%
10/31/2017,0.405059638,17.3299119,0.306368432,0.031660813,4211000000,TD.TO,10.58%
12/31/2015,0.206330446,0.428698684,0.392663376,0,1905818,TWM.TO,
12/31/2016,0.675700687,0.548155992,0.137602329,0,10222000,TWM.TO,436.36%
