Underyling,payoutChange,divGrowth,payoutAvg,debtEquityAvg,netMarginAvg
FMX,-0.120624593,0.208953456,0.368150821,1.050781969,0.067255421
LPLA,-0.103694934,-0.018273235,0.469910188,4.919980451,0.047556179
LSTR,-0.171470909,-0.106264777,0.094321888,1.0738087,0.045441207
MBIN,0.018426854,0.375748238,0.160671581,13.29532291,0.437419601
MBTF,0.194692623,0.189873252,0.31982074,8.62856246,0.219558341
MCBC,0.158779403,0.324678073,0.305624868,10.01306508,0.220602445
MCHP,0.326651586,0.056560032,1.378598834,1.480827464,0.087195656
MELI,3.049758671,-0.003213373,0.766706263,2.760343961,0.111218977
MFSF,0.24334172,0.295725107,0.335951973,9.817362116,0.20167245
MHLD,0.24139506,0.129569177,0.532196501,5.582854886,0.002715218
INGR,-0.029586272,0.099086795,0.307357853,1.228797884,0.081845781
MKTX,0.011677106,0.269004034,0.314250833,0.127023274,0.343503172
MLHR,0.011312962,0.084376669,0.301431128,1.22154294,0.056179104
ATR,-0.006167539,0.040425165,0.364535197,1.244049864,0.087779706
BRO,-0.110987683,0.094161913,0.243601895,1.261028124,0.169362627
MPWR,0.3865399,0.566637434,0.666698612,0.202010875,0.126566766
WBA,-0.088532904,0.107765938,0.366997472,1.335888901,0.036950589
MRVL,-13.89801567,-0.009670309,1.953149331,0.20184922,-0.028799491
MSFT,0.059155897,0.087357079,0.588969221,1.890092305,0.213138848
MTCH,0.227449058,0,8.493724197,4.059531381,0.182936772
MTGE,-2.991753631,-0.236069277,-0.521263654,4.792283931,0.170173687
NAVG,0.867970265,0.229262087,0.086597557,3.176511722,0.058933116
NCBS,0.302325296,0.927350758,0.026418785,8.580280029,0.21697196
NCMI,2.516877181,0.043558015,10.26159639,-3.517832852,0.025583842
NDAQ,2.39504428,0.431345021,1.099991346,1.467343997,0.113346991
NGHC,1.193015618,1.364246017,0.263096205,3.673960082,0.043131239
NICE,-0.061104649,-0.248720064,0.180576101,0.558202941,0.16731595
NKSH,0.075578412,0.012086259,0.539570526,5.903900655,0.323973729
NRIM,0.18893409,0.079161413,0.371365066,7.176193273,0.157783293
NTAP,2.268369061,0.00964591,1.380488147,2.890408431,0.048791753
AVGO,-2.157419765,0.833393632,0.288113236,1.419040777,0.054826159
AAPL,-0.327%,4.700%,24.885%,158.027%,21.708%
NVEC,0.382317527,0.312974533,1.48845455,0.013093481,0.455497613
OLED,0.206515992,0,0.185683644,0.189814506,0.209349742
OTEX,1.127786805,0.18504093,0.355880874,1.270422483,0.2298878
PAAS,-0.140763497,-0.084559063,0.006189816,0.329945978,-0.019543544
PAHC,0.011767451,0.010121576,0.227513734,3.824554219,0.091250294
UNP,-4.014%,9.757%,37.337%,158.616%,31.179%
HNI,-0.042368719,0.037930836,0.519325684,1.670556647,0.041953066
PDCO,0.120233017,0.067007177,0.512939761,1.444212527,0.03402451
PDLI,-0.374626481,-0.599934312,0.186039006,0.512124518,0.599260491
PEGA,0.132063742,0.115518562,0.29158782,0.946005879,0.04278414
PEP,0.191263468,0.062452592,0.776541152,5.515370573,0.087900925
PINC,0.426303753,-0.047588351,1.801681554,-2.359907983,0.044604207
PROV,0.759796265,0.014170068,1.104052457,8.299936022,0.07280724
PTVCB,0.25266349,0.029548508,0.693347894,1.948928556,0.074388841
PUB,0.840039183,1.165863979,0.260995631,6.656709715,0.247103644
QCOM,0.719570986,0.079836319,0.796407448,0.798238561,0.187111166
LUV,-0.110917299,0.254177199,0.086672159,1.687531853,0.128540899
QIWI,3.826776533,1.440897539,0.898400947,0.991058081,0.193384384
UGP,-0.014649903,0.062949902,0.569875137,1.80587151,0.019912458
RBNC,0.532453104,0.682017497,0.29145716,7.538706239,0.181887915
RELL,-1.028482464,-0.02183408,-0.031693746,0.202369474,-0.024947253
CSX,-15.592%,4.102%,29.157%,181.361%,26.702%
RICK,0.294946916,0.119102862,0.10401924,1.175297783,0.069402556
INTU,-0.179126042,0.128904103,0.341483288,1.954909616,0.199725377
RYAAY,-0.444102367,0,0.25521134,1.865304286,0.213096563
SBBX,0.158652392,0.461322471,0.183055302,11.40532618,0.160149953
BR,-0.025574063,0.106888916,0.434210959,1.968492673,0.094618799
SBUX,0.111147477,0.228538589,0.419209527,1.399896539,0.134979674
CMCSA,-0.154589502,0.085634897,0.241535254,2.033887586,0.162140182
SIGI,0.033970166,0.09227234,0.206545019,3.743106833,0.071845941
SILC,-0.076613436,0.009155397,0.445625215,0.200662365,0.167780171
SIMO,0.144257497,0.177400273,0.326524744,0.355488393,0.169816616
MAXR,-0.123831382,0.021419621,0.411458302,2.177957698,0.065604319
UVE,-0.002580971,0.120466861,0.179806058,2.184163247,0.160703698
SSW,-1.462591654,0.102646091,0.020717833,2.224706555,0.098622092
STX,1.927921754,0.053553846,1.42411625,4.867351388,0.066527619
SWKS,0.355456978,0.891303497,0.189535105,0.130304003,0.274747641
SYMC,-4.615256207,-0.142644292,-0.471602781,2.843416717,0.30150726
TECH,0.006177766,0.006127729,0.485984313,0.467337132,0.180232038
TGLS,3.282411918,0.77822762,0.139401179,4.285330891,0.01594403
TXN,0.075328026,0.169866102,0.504292265,0.635795981,0.248228139
UFCS,0.379009452,0.117965765,0.367885198,3.343081491,0.059492961
IVZ,0.006101822,0.036413978,0.475601619,2.338989467,0.195951805
UVSP,0.0268638,0.180088479,0.635445613,6.962153298,0.17988821
ENLC,-1.601514533,0.2060105,0.00422778,2.349282549,-0.050265105
VIRT,8.553464701,-0.00200883,9.970978432,16.92922196,0.02899179
VRTS,2.039728756,0.409805001,0.37054482,0.99466978,0.109745844
VRTU,3.727254072,0,0.942373412,0.92795004,0.02988993
SKYW,-1.511843436,0.06425639,0.006413269,2.362806198,0.040048165
WDC,1.818315108,0.147295728,1.413905906,1.699698454,0.024036447
WETF,1.370923223,1.027065752,1.27652896,0.2700491,0.168462336
WSBC,0.102724789,0.229249821,0.422532832,6.294140117,0.262621486
WSBF,0.832637222,1.082716134,0.554387315,3.413649522,0.138393439
PBF,-0.636206718,0.141984729,0.577587169,2.386691762,0.013652141
WYNN,-0.057297623,-0.277596937,1.443008859,-2.306254146,0.073523978
XLNX,0.146139479,0.048692173,0.600767659,0.973614442,0.23853411
ZION,0.017957443,0.105974356,0.265899051,8.026512455,0.195294654
ABB,0.024567169,-0.019345643,0.767271046,1.864533949,0.058371059
AVH,-1.208826031,1.097856356,0.142447677,3.702093177,-0.006752938
GCAP,-1.10293286,0.112240148,0.072654413,3.837030899,0.024687466
ABT,1.483643565,0.114406124,1.767281713,1.318719467,0.100437445
ACN,0.048334205,0.083327812,0.395621662,1.659342363,0.107417906
ADM,0.216238619,0.054236489,0.459105627,1.245132327,0.024682296
AEP,0.576968269,0.058587974,0.986584467,2.543961136,0.09523638
AES,0.865368328,0.353498251,0.124094378,10.64338052,-0.057270821
AET,0.322673182,0.251308911,0.202260016,2.567841561,0.035698408
AFL,-0.09857434,0.003555385,0.216671235,5.198230446,0.149900258
ICE,-0.127412949,0.168829046,0.24559146,4.032543872,0.413611256
AGO,0.116370368,-0.026601831,0.08079744,1.228315578,0.526697964
AGR,0.399392664,0.111388196,1.169185872,1.066811681,0.077142201
AHL,-0.314863514,0.016659057,0.131625746,3.253533319,0.02972339
BBU,-0.569792068,0.084778281,0.473889257,4.045703466,0.00807991
AIZ,0.803016773,0.165143862,0.371963193,6.114217679,0.056699397
ALK,0.105295451,0.307189542,0.143497549,1.997860204,0.139689756
ALL,0.061122374,0.043949713,0.265879243,4.541914704,0.065016286
AMG,-0.128347935,0,0.082737141,1.022898302,0.239880552
AMX,0.633201477,-0.006808164,0.880901922,7.460398791,0.025598349
ANTM,0.037740785,0.146070125,0.23895461,1.644251251,0.034706133
AON,0.151489221,0.102111367,0.259082719,3.99948161,0.139030052
APD,0.074294953,0.078774619,0.645177199,1.240607088,0.204628761
ARCH,0.755149897,3.492856021,0.037645777,-0.40571236,-0.127092121
ARCO,-0.470624407,-0.75,-0.242267542,3.274654686,0.016302508
ARGO,0.351853378,0.209529457,0.160207782,3.269066663,0.07702009
XL,-0.229963841,0.107396212,0.090209929,4.430290144,0.03914869
AUO,1.805323642,0.877819493,0.376327889,1.313023019,0.058441011
AUY,0.601911401,-0.477156503,-0.071420866,0.965810176,-0.503037028
MRLN,-0.005610633,0.048041208,0.365850431,4.478596101,0.237707998
AVP,-0.659512802,0.006653992,-0.092175124,-4.845898347,-0.067154748
AVX,9.032207459,0.040453496,5.563350207,0.138661149,0.061298606
AXP,0.438383405,0.064052679,0.302474839,7.495460966,0.146179663
AXS,0.313960707,0.045772226,0.291447495,3.257493173,0.071394382
AZN,-0.196980498,-7.34E-05,1.141436927,2.818880058,0.133346074
AZUL,3.285146406,0,-0.584576133,-3.654898657,-0.040929865
BA,0.04982603,0.174657541,0.48698326,127.3024065,0.064460867
BABA,0,0,0,0.653971941,0.412857064
CNP,-1.778936808,0.041551935,0.222370164,4.770063406,0.050029945
BMA,-0.180659341,0.14458455,0.141312596,5.26683526,0.327948287
BANC,0.322592246,0.509126695,0.528170941,14.36363209,0.245996913
BAP,0.107989788,0.32246409,0.20000528,7.450323445,0.322028654
BAX,2.446746715,-0.233023714,0.477797011,1.040082945,0.217846301
BBD,0.198785724,0.17889229,0.360442028,9.662534854,0.263910432
LOB,-0.274505963,0.127147625,0.122918419,5.489040257,0.295847739
BC,0.414771142,0.133044709,0.271580638,1.33529723,0.054254612
BCH,-0.013378947,-0.023711373,0.6383517,9.970164589,0.398124058
BEP,8.799796834,0.124950063,13.50238095,3.53126231,-0.009533727
BG,1.311101509,0.083424331,0.801964689,1.856678443,0.013050846
BIP,10.29063713,0.19389901,15.94887838,2.831827705,0.076322878
CIT,-1.55830133,0.066850881,0.069636293,5.523692838,0.129832783
BKE,0.289541314,0.043056884,0.448700568,0.370078669,0.110082672
RBB,-0.046938973,0.274694138,0.1914624,5.771452132,0.322336229
UNM,-0.17059186,0.071484355,0.198030647,5.860932407,0.084400839
BMY,1.053967523,0.024327558,1.571098208,1.378683062,0.124132396
BNS,0.010329391,0.051621638,0.488492955,15.75170361,0.311997761
BOH,-0.042389027,0.009685118,0.467445103,12.97218985,0.290331943
CBU,-0.056716079,0.105352603,0.494584456,6.100967238,0.264429468
SFNC,-0.022010918,0.350483251,0.347285485,6.239185894,0.213959195
F,-0.195048847,0.073647553,0.385001407,6.796080343,0.042688281
FFG,-0.065569622,0.082791532,0.322737345,6.799741551,0.189629392
BSAC,0.124585734,0.082333689,0.676983899,11.24101214,0.365887917
BSBR,0.188568658,0.460887967,0.493077408,6.534029673,0.327233273
BSIG,9.542378299,-0.258744298,3.263852815,9.825697956,0.139201016
BTU,-0.994341257,-0.984832069,-0.000712359,27.25609107,-0.141544342
BWXT,-0.217100497,0.000693639,0.250261886,6.216892133,0.099509986
IBTX,-0.052704164,0.284330742,0.133727292,6.847770818,0.257775911
CAJ,0.125444696,0.043448443,0.851347665,0.640578403,0.053843231
CATO,1.551307041,-0.000623501,1.734170677,0.572428517,0.041837211
CB,0.044523192,0.158626126,0.308870667,2.361764026,0.133383509
CTBI,-0.020538851,0.037637499,0.458117509,6.952446766,0.28207396
CCU,0.020723527,0.048093002,0.572202135,0.635621605,0.077642487
CFG,0.128848594,0.350021547,0.236834736,6.454166302,0.235671882
HFWA,-0.062008568,0.281669282,0.353113662,6.984670525,0.238601017
CIB,0.150674991,0.170219269,0.345231428,8.295771104,0.260402259
CIG,1.476773216,-0.212567876,0.959822214,2.115102745,0.058931452
MTB,-0.030543962,0.064514394,0.398953361,6.986994469,0.251413118
CL,0.149034293,0.026291273,0.746186092,-99.03304729,0.125976952
CM,-0.156738197,-0.042417639,0.401175673,20.40630969,0.294373086
CMI,0.3237957,0.112880906,0.543746809,1.167432096,0.067242469
CNA,0.74507988,0.456036146,0.990631979,3.63897942,0.079520447
FMAO,-0.061443352,0.032033371,0.367064774,7.298915639,0.265469888
COP,0.069995588,-0.192363665,-0.90012958,1.46460654,-0.10912976
CPA,-1.220205708,-0.104047706,-0.036672697,1.147484802,0.065713869
CULP,0.05506309,0.165680929,0.184474678,0.35914947,0.063590286
CVI,1.550526751,-0.111068348,2.931185188,2.247510528,0.025175542
CVX,-2.700583523,0.008509286,-4.511418955,0.73625175,0.034913368
DAL,0.143808762,0.428085165,0.133358917,3.300104602,0.102747138
DAN,1.618863941,-0.043018018,0.200902406,4.106335048,0.05049581
DB,0.632397525,0.380671747,-0.465782437,22.52298855,-0.095941753
DBD,-1.091524058,-0.220824214,-0.354356566,6.843634857,-0.010019721
DCI,0.081454565,0.012683223,0.466710119,1.317101826,0.083342001
DE,0.196049884,-0.008427002,0.4247326,7.117361495,0.066358744
DLB,0.124534302,0.119624889,0.256424635,0.17538447,0.184891978
DLX,-0.043104142,0.003148599,0.260579656,1.376028395,0.121490067
DS,-0.999485779,-0.462268305,0.62696031,5.963040741,0.062501861
DSW,0.33617654,-0.014631984,0.661108727,0.508046587,0.040628258
DWDP,1.189806996,0.195555253,1.062665807,1.62159858,0.090193236
FMBI,-0.014286434,0.138973445,0.322810183,7.375285206,0.18351587
EARN,174.9586142,-0.02716557,214.3887555,9.208829877,0.372116833
EC,-1.069959837,-0.35510015,-0.11664677,1.748651394,0.013784729
ECA,-0.978046615,-0.264783793,-0.004843484,1.397657585,-0.478475012
EIG,0.201056816,0.253332194,0.094673308,3.492534264,0.129651988
EL,0.157494953,0.160321463,0.42042109,1.629463023,0.095204837
ELP,0.058397422,0.010661434,0.392993518,1.07171435,0.072103141
ENIA,0.026577911,-0.515883744,1.025548688,1.325890028,0.090378437
ENIC,0.013216166,0.209999966,0.577064402,0.719675867,0.13198556
BBSI,-0.646799839,0.103752558,0.291615395,7.37955206,0.028040753
CNOB,-0.111671462,0.113965561,0.245097018,7.653942612,0.321362074
EOCC,0.068359436,0.110573281,0.623593032,1.063394524,0.26831909
LCNB,-0.062933165,0.026200719,0.489789867,7.967881221,0.247233958
EQM,0.083227751,0.396756733,0.611022181,0.572973711,0.527162665
EQNR,-0.905026985,-0.342666228,-0.28780479,1.830149119,-0.026115122
ERJ,0.372048051,0.024894727,0.380911018,2.001325783,0.027245819
ETN,0.020654407,0.057567298,0.528992901,0.988170089,0.112839798
EVR,0.265922277,0.134753292,0.668760775,1.548858703,0.062149233
GABC,-0.007670451,0.120029782,0.297649952,7.993865516,0.294874179
FBC,-0.756366126,0,0.639296025,10.08781625,0.164247993
FBR,-0.183566055,-0.189535485,2.275265941,1.484094073,0.099502451
FCX,-1.228618559,-0.759647614,-0.013463147,4.07041539,-0.335672011
AFSI,-0.466545029,0.423128321,0.030562922,8.045961444,0.038099512
FHN,0.680752532,0.172344147,0.509197234,10.14672077,0.12573985
FLR,0.360166653,-0.021870584,0.446462189,1.72087237,0.015786289
FMS,-0.085679149,-0.019470442,0.236120197,1.353607676,0.066595549
FSBW,-0.124679406,0.238002988,0.09712568,8.085930837,0.205710215
FNF,0.020108755,0.111095798,0.381906767,1.13542868,0.089783791
FNV,0.807065704,0.119244341,1.812591312,0.065793225,0.181879802
BAC,-0.028722578,0.360809803,0.257534279,8.091435753,0.213003526
FRO,1.13906462,0.852948327,0.4875124,1.203570874,0.028798513
FSB,-0.672461961,-0.385,0.003519333,10.85900909,0.269058787
FTI,4.473226711,-0.282950075,2.557509488,1.939260798,0.017177296
G,-0.095049159,0,0.181741859,1.266723056,0.09949448
FSFG,-0.131154912,0.042811663,0.150943123,8.4193425,0.265337024
GG,-3.058566547,-0.446821953,0.201327954,0.599701153,-0.237262848
GGG,2.283047663,0.06660343,0.775029624,1.087676091,0.156827169
RVSB,-0.069539111,0.205398423,0.216751048,8.516777653,0.173951531
GLOP,0.212623496,0.681571436,0.780849458,1.542078344,0.342262484
FFBC,-0.090017028,0.061281229,0.481228335,8.792798319,0.262600019
GM,-1.3174805,-0.10048599,-0.031297003,4.317041347,0.036007345
GS,0.411807888,0.069307211,0.306561975,10.76940567,0.185066051
GSK,2.393449412,0.00543839,2.421692188,-240.3203141,0.145166406
GVA,-0.227234669,0.006000974,0.332462654,0.915720755,0.023779308
HBM,1.970850138,-0.010655102,-0.02991336,1.400623323,-0.094981088
HFC,-1.95784931,-0.221443839,-0.090807681,0.755551765,0.029233483
BK,-0.114781414,0.039438897,0.263821544,9.027687249,0.235137716
EWBC,-0.051984549,0.058824519,0.284469715,9.059308319,0.377714121
HMN,0.185701677,0.0628859,0.491929449,7.063081859,0.101774116
SMBC,-0.027054139,0.126293468,0.187928976,9.136516122,0.273178543
HON,0.777183773,0.119691837,0.680190289,1.962698525,0.095591418
UMBF,-0.128415738,0.078654208,0.304918218,9.200838801,0.199089704
HPQ,0.148028464,-0.071966238,0.32405107,-5.425281144,0.062919622
HTH,1.364800392,1.085986132,0.077039979,5.875984454,0.103043599
HUBB,0.210836004,0.091539301,0.540636586,1.104500124,0.077213767
HUM,0.116413581,0.090669207,0.170979712,1.507830055,0.026774917
HVT,0.040012004,0.16689602,0.387468464,0.580876579,0.031572976
IBM,0.466916623,0.089685921,0.590351454,6.094585639,0.127536205
CFR,-0.047484325,0.040411225,0.463312633,9.295860127,0.290270132
ICL,-1.507084632,-0.021460382,0.001652976,2.085788623,0.046202355
INFY,0.057791422,0.131348597,0.487776295,0.219712278,0.217625675
WTFC,-0.006832865,0.180119473,0.178147674,9.309138632,0.204341319
SBSI,-0.207115275,0.217354186,0.547972129,9.325414748,0.288938837
ITT,0.396815799,0.037196782,0.253772044,1.524044625,0.087601631
ITUB,0.152340894,0.185661321,0.34547898,9.946313516,0.28757161
FMBH,-0.136863486,0.04094995,0.280482853,9.418383737,0.22685936
JE,-2.696505239,0.016972264,0.499328975,2.336502497,0.091661129
JHG,0.720439385,0.118510038,0.857032566,0.526293433,0.243482226
CBSH,-0.020504806,0.044671943,0.340056174,9.490496261,0.253743829
JNJ,4.098508146,0.048100754,2.643618787,1.165031172,0.155658137
SNV,-0.041462417,0.076796652,0.269343692,9.546344753,0.212461824
JPM,0.032982836,0.1014571,0.33240476,9.741513182,0.269585979
KDP,0.155477684,-0.130820216,0.329806449,1.114442719,0.08240625
KEY,0.140180079,0.26667249,0.361789875,8.587328688,0.202636431
